,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2020-01-01 01:13:49,BBCNEWS,2,BBCNEWS_20200101_010000_BBC_News/start/780,ICEIEDI'aUOI'lS,ICEIEDIaUOIlS,
6,2020-01-01 11:16:00,BBCNEWS,3,BBCNEWS_20200101_110000_BBC_News/start/960,Hong Kong protests. . Prokes'ers call for amnesty on thousands arresked so far,Hong Kong protests Prokesers call for amnesty on thousands arresked so far,Protesters call for amnesty on thousands arrested so far
8,2020-01-01 18:43:25,CNNW,2,CNNW_20200101_184300_,"SUPREME COURT FACES HOT-BU'ITON ISSUES IN 2020. . Cases involving health care, abortion, immigration, Trump tax returns lie ahead",SUPREME COURT FACES HOTBUITON ISSUES IN 2020 Cases involving health care abortion immigration Trump tax returns lie ahead,Cases involving immigration lie ahead
9,2020-01-01 19:48:00,FOXNEWSW,4,FOXNEWSW_20200101_194800_,MIGRANTS SEEKING U.S. ASYLUM WAIT IN MEXICO,MIGRANTS SEEKING US ASYLUM WAIT IN MEXICO,MIGRANTS SEEKING US ASYLUM WAIT IN MEXICO
18,2020-01-02 03:51:17,FOXNEWSW,2,FOXNEWSW_20200102_035100_,STUDENTS DEMAND UNIV REMOVE ICE JOB LISTINGS,STUDENTS DEMAND UNIV REMOVE ICE JOB LISTINGS,STUDENTS DEMAND UNIV REMOVE ICE JOB LISTINGS
21,2020-01-02 09:45:00,FOXNEWSW,14,FOXNEWSW_20200102_090000_FOX__Friends_First/start/2700,CHAD WOLF. ACTING DHS SECRETARY,CHAD WOLF ACTING DHS SECRETARY,CHAD WOLF ACTING DHS SECRETARY
37,2020-01-03 04:52:12,FOXNEWSW,2,FOXNEWSW_20200103_045200_,UPON FURTHER REVIEW.... ' DHS TO AUDIT GRANTING 0T LICENSES To ILLEGAL IMMIGRANTS,UPON FURTHER REVIEW DHS TO AUDIT GRANTING 0T LICENSES To ILLEGAL IMMIGRANTS,UPON FURTHER REVIEW DHS TO AUDIT GRANTING LICENSES TO ILLEGAL IMMIGRANTS
38,2020-01-03 04:52:38,FOXNEWSW,2,FOXNEWSW_20200103_045200_,"HEATHER SWIFT. . DHS SPOKESWOMAN. . *.__-_.'. , m",HEATHER SWIFT DHS SPOKESWOMAN m,HEATHER SWIFT DHS SPOKESWOMAN
40,2020-01-03 09:56:11,CNNW,25,CNNW_20200103_090000_Early_Start_With_Christine_Romans_and_Laura_Jarrett/start/3360,"ICE DEPORTS U.S. ARMY OFFICER'S MOTHER. . Lt. Cruz: ""I joined to...keep my family safe and that's not happening""",ICE DEPORTS US ARMY OFFICERS MOTHER Lt Cruz I joined tokeep my family safe and thats not happening,ICE DEPORTS US ARMY OFFICERS MOTHER Lt Cruz I joined to keep my family safe and that's not happening
41,2020-01-03 09:56:36,CNNW,13,CNNW_20200103_090000_Early_Start_With_Christine_Romans_and_Laura_Jarrett/start/3360,ICE DEPORTS U.S. ARMY OFFICER'S MOTHER. . Gibram Cruz U.S. Army Second Lieutenant,ICE DEPORTS US ARMY OFFICERS MOTHER Gibram Cruz US Army Second Lieutenant,ICE DEPORTS US ARMY OFFICERS MOTHER Gibram Cruz US Army Second Lieutenant
42,2020-01-03 11:13:32,FOXNEWSW,11,FOXNEWSW_20200103_110000_FOX_and_Friends/start/780,ASYLUM SEEKERS AT AZ BORDER SENT BACK TO MEXICO,ASYLUM SEEKERS AT AZ BORDER SENT BACK TO MEXICO,ASYLUM SEEKERS AT AZ BORDER SENT BACK TO MEXICO
50,2020-01-04 01:47:51,FOXNEWSW,2,FOXNEWSW_20200104_010000_Tucker_Carlson_Tonight/start/2820,ALMOST 20 GOP GOVERNORS ARE. REQUESTING MORE REFUGEE RESE'ITLEMENT. . .1; rnm'nlnr :sr m,ALMOST 20 GOP GOVERNORS ARE REQUESTING MORE REFUGEE RESEITLEMENT 1 rnmnlnr sr m,ALMOST 20 GOP GOVERNORS ARE REQUESTING MORE REFUGEE RESETTLEMENT
51,2020-01-04 01:49:00,FOXNEWSW,2,FOXNEWSW_20200104_010000_Tucker_Carlson_Tonight/start/2940,TRUMP GAVE STATE & LOCAL GOVERNMENTS. THE ABILITY TO REEU_SE REFUGEE RESE'ITLEMENT. . :fï¬mâ fnni'nlnf .--.âa run.â,TRUMP GAVE STATE LOCAL GOVERNMENTS THE ABILITY TO REEUSE REFUGEE RESEITLEMENT fm fnninlnf a run,TRUMP GAVE STATE LOCAL GOVERNMENTS THE ABILITY TO REUSE REFUGEE RESETTLEMENT
54,2020-01-04 05:45:00,FOXNEWSW,3,FOXNEWSW_20200104_050000_Tucker_Carlson_Tonight/start/2700,. 20 GOP GOVERNORS AGREE TO SETTLE MORE REFUGEES. . .L.â tnninkr,20 GOP GOVERNORS AGREE TO SETTLE MORE REFUGEES L tnninkr,20 GOP GOVERNORS AGREE TO SETTLE MORE REFUGEES
55,2020-01-04 05:48:40,FOXNEWSW,2,FOXNEWSW_20200104_050000_Tucker_Carlson_Tonight/start/2880,"I TRUMP GAVE STATE & LOCAL GOVERNMENTS. THE ABILITY TO REFUSE REFUGEE RESETTLEMENT. . .1 tnninki- .,::;.",I TRUMP GAVE STATE LOCAL GOVERNMENTS THE ABILITY TO REFUSE REFUGEE RESETTLEMENT 1 tnninki,I TRUMP GAVE STATE LOCAL GOVERNMENTS THE ABILITY TO REFUSE REFUGEE RESETTLEMENT
56,2020-01-04 11:20:12,CNNW,9,CNNW_20200104_110000_New_Day_Weekend_With_Victor_Blackwell_and_Christi_Paul/start/1200,", ,. Juliette Kayye-m Former Assistant Secy., DHS",Juliette Kayyem Former Assistant Secy DHS,Juliette Kayyem Former Assistant Secy DHS
57,2020-01-04 12:12:07,FOXNEWSW,22,FOXNEWSW_20200104_110000_FOX_and_Friends_Saturday/start/4320,ICE ARRESTS ILLEGAL RELEASED AFTER HIT-AND-RUN,ICE ARRESTS ILLEGAL RELEASED AFTER HITANDRUN,ICE ARRESTS ILLEGAL RELEASED AFTER HIT AND RUN
80,2020-01-06 09:06:39,FOXNEWSW,2,FOXNEWSW_20200106_090000_FOX__Friends_First/start/360,TEEN GUNNED DOWN. BORDER VIOLENCE CLAng. Â£le 0f 13 YO WITH FAMILY,TEEN GUNNED DOWN BORDER VIOLENCE CLAng le 0f 13 YO WITH FAMILY,TEEN GUNNED DOWN BORDER VIOLENCE CLAIMING LIFE OF 13-YEAR-OLD WITH FAMILY
82,2020-01-06 09:52:03,MSNBCW,3,MSNBCW_20200106_090000_First_Look/start/3120,AWKWAFINA MAKES HISTORY AS FIRST WOMAN OF ASIAN DESCENT. TO WIN GOLDEN GLOBE FOR BEST ACTRESS IN A MUSICAL 0R COMEDY FILM,AWKWAFINA MAKES HISTORY AS FIRST WOMAN OF ASIAN DESCENT TO WIN GOLDEN GLOBE FOR BEST ACTRESS IN A MUSICAL 0R COMEDY FILM,AWKWAFINA MAKES HISTORY AS FIRST WOMAN OF ASIAN DESCENT TO WIN GOLDEN GLOBE FOR BEST ACTRESS IN A MUSICAL OR COMEDY FILM
89,2020-01-07 01:34:35,FOXNEWSW,2,FOXNEWSW_20200107_010000_Tucker_Carlson_Tonight/start/2040,"ALMOST 400, 000 BABIES BORN TO ILLEGAL. IMMIGRANTS BORN IN THE U. 5. IN 2019. . rnm'nlnr :ar rum...",ALMOST 400 000 BABIES BORN TO ILLEGAL IMMIGRANTS BORN IN THE U 5 IN 2019 rnmnlnr ar rum,"ALMOST 400,000 BABIES BORN TO ILLEGAL IMMIGRANTS BORN IN THE U.S. IN 2019"
90,2020-01-07 01:34:57,FOXNEWSW,2,FOXNEWSW_20200107_010000_Tucker_Carlson_Tonight/start/2040,"1:.Â» LARA LOGAN | INVESTIGATIVE JOURNALIST. . ALMOST 400,000 BABIES BORN To ILLEGAL. IMMIGRANTS nnlm IN THF u s IN 9010",1 LARA LOGAN INVESTIGATIVE JOURNALIST ALMOST 400000 BABIES BORN To ILLEGAL IMMIGRANTS nnlm IN THF u s IN 9010,ALMOST 400000 BABIES BORN TO ILLEGAL IMMIGRANTS IN THE U.S. IN 2010
108,2020-01-09 09:07:23,FOXNEWSW,4,FOXNEWSW_20200109_090000_FOX__Friends_First/start/420,FACING FATE. MAN SENTENCED TO LIFE 'FOR KILLING ARIZONA BORDER AGENT,FACING FATE MAN SENTENCED TO LIFE FOR KILLING ARIZONA BORDER AGENT,FACING FATE MAN SENTENCED TO LIFE FOR KILLING ARIZONA BORDER AGENT
109,2020-01-09 09:08:09,FOXNEWSW,2,FOXNEWSW_20200109_090000_FOX__Friends_First/start/480,BORDER BATI'LE IN COURT. JUDGE TO DECIDE IF PRIVATEL-Y-fUNl-DED WALL CAN BE BUILT,BORDER BATILE IN COURT JUDGE TO DECIDE IF PRIVATELYfUNlDED WALL CAN BE BUILT,BORDER BATTLE IN COURT JUDGE TO DECIDE IF PRIVATELY FUNDED WALL CAN BE BUILT
111,2020-01-09 09:44:49,FOXNEWSW,2,FOXNEWSW_20200109_090000_FOX__Friends_First/start/2640,GREEN CARD RED LIGHT. APPEALS COURT BLOCKS'WIEEFï¬ARE FULE FOR IMMIGRANTS,GREEN CARD RED LIGHT APPEALS COURT BLOCKSWIEEFARE FULE FOR IMMIGRANTS,GREEN CARD RED LIGHT APPEALS COURT BLOCKS WELFARE RULE FOR IMMIGRANTS
112,2020-01-09 13:13:44,FOXNEWSW,5,FOXNEWSW_20200109_110000_FOX_and_Friends/start/7980,MN COUNTY BANS REFUGEE SETTLEMENTS,MN COUNTY BANS REFUGEE SETTLEMENTS,MN COUNTY BANS REFUGEE SETTLEMENTS
126,2020-01-10 01:23:00,FOXNEWSW,2,FOXNEWSW_20200110_010000_Tucker_Carlson_Tonight/start/1380,l'l II. . â. SANCTUARY MAYORS SIDE WITH ILLEGAL IMMIGRANTS. . fnni'nln,ll II SANCTUARY MAYORS SIDE WITH ILLEGAL IMMIGRANTS fnninln,SANCTUARY MAYORS SIDE WITH ILLEGAL IMMIGRANTS
128,2020-01-10 01:25:41,FOXNEWSW,2,FOXNEWSW_20200110_010000_Tucker_Carlson_Tonight/start/1500,. . ILLEGAL IMMIGRANT SHOT 10 ROUNDS AT MADISYN,ILLEGAL IMMIGRANT SHOT 10 ROUNDS AT MADISYN,ILLEGAL IMMIGRANT SHOT 10 ROUNDS AT MADISYN
129,2020-01-10 04:46:45,FOXNEWSW,3,FOXNEWSW_20200110_040000_Fox_News_at_Night_With_Shannon_Bream/start/2760,MINNESOTA COUNTY BANS REFUGEES. . mm: IL|hI In,MINNESOTA COUNTY BANS REFUGEES mm ILhI In,MINNESOTA COUNTY BANS REFUGEES
131,2020-01-10 05:20:18,BBCNEWS,4,BBCNEWS_20200110_050000_The_Briefing/start/1200,Refugee,Refugee,Refugee
133,2020-01-10 05:27:00,FOXNEWSW,2,FOXNEWSW_20200110_050000_Tucker_Carlson_Tonight/start/1620,SHAUNA WHITE: CALIFORNIA IS PRIORITIZING. ILLEGAL IMMIGRANTS OVER U. S. CITIZENS. . .T..â fnninkf . .1,SHAUNA WHITE CALIFORNIA IS PRIORITIZING ILLEGAL IMMIGRANTS OVER U S CITIZENS T fnninkf 1,SHAUNA WHITE CALIFORNIA IS PRIORITIZING ILLEGAL IMMIGRANTS OVER U S CITIZENS
134,2020-01-10 05:27:30,FOXNEWSW,2,FOXNEWSW_20200110_050000_Tucker_Carlson_Tonight/start/1620,> SHAUNA WHITE | MOTHER OF MURDERED TEENAGER. . SHAUNA WHITE: CALIFORNIA IS PRIORITIZING. II I mm IMMIGRANTS OVFP u s ('ITI7FNS,SHAUNA WHITE MOTHER OF MURDERED TEENAGER SHAUNA WHITE CALIFORNIA IS PRIORITIZING II I mm IMMIGRANTS OVFP u s ITI7FNS,SHAUNA WHITE CALIFORNIA IS PRIORITIZING IMMIGRANTS OVER U S CITIZENS
137,2020-01-10 09:36:35,FOXNEWSW,2,FOXNEWSW_20200110_090000_FOX__Friends_First/start/2160,"SECURING THE BORDER. CBP: ARRESTS DROP, DEUG-ï¬lzugEs RISE IN DECEMBER",SECURING THE BORDER CBP ARRESTS DROP DEUGlzugEs RISE IN DECEMBER,SECURING THE BORDER CBP ARRESTS DROP DRUGS RISE IN DECEMBER
138,2020-01-10 09:37:21,FOXNEWSW,14,FOXNEWSW_20200110_090000_FOX__Friends_First/start/2220,GUNMAN GETS LIFE IN PRISON FOR BORDER AGENT MURDER,GUNMAN GETS LIFE IN PRISON FOR BORDER AGENT MURDER,GUNMAN GETS LIFE IN PRISON FOR BORDER AGENT MURDER
148,2020-01-11 03:36:32,FOXNEWSW,2,FOXNEWSW_20200111_030000_The_Ingraham_Angle/start/2160,GOV GREG ABBO'I'I' SAYS NEW REFUGEES. WILL NOT BE ALLOWED TO RESE'ITLE IN TEXAS. . kl I'll: LIN,GOV GREG ABBOII SAYS NEW REFUGEES WILL NOT BE ALLOWED TO RESEITLE IN TEXAS kl Ill LIN,GOV GREG ABBOTT SAYS NEW REFUGEES WILL NOT BE ALLOWED TO RESETTLE IN TEXAS
149,2020-01-11 11:25:21,FOXNEWSW,3,FOXNEWSW_20200111_110000_FOX_and_Friends_Saturday/start/1500,IOOTH MILE 0F BORDER WALL BUILT UNDER TRUMP,IOOTH MILE 0F BORDER WALL BUILT UNDER TRUMP,IOOTH MILE OF BORDER WALL BUILT UNDER TRUMP
153,2020-01-11 12:18:08,MSNBCW,4,MSNBCW_20200111_120000_MSNBC_Live/start/1080,TEXAS REJECTS NEW REFUGEES UNDER TRUMP EXECUTIVE ORDER,TEXAS REJECTS NEW REFUGEES UNDER TRUMP EXECUTIVE ORDER,TEXAS REJECTS NEW REFUGEES UNDER TRUMP EXECUTIVE ORDER
154,2020-01-11 12:37:00,FOXNEWSW,25,FOXNEWSW_20200111_110000_FOX_and_Friends_Saturday/start/5820,"BRANDON JUDD. PRESIDENT, BORDER PATROL UNION",BRANDON JUDD PRESIDENT BORDER PATROL UNION,BRANDON JUDD PRESIDENT BORDER PATROL UNION
155,2020-01-11 12:38:28,FOXNEWSW,4,FOXNEWSW_20200111_110000_FOX_and_Friends_Saturday/start/5880,NEWSOM PROPOSES HEALTH BENEFITS FOR ILLEGALS,NEWSOM PROPOSES HEALTH BENEFITS FOR ILLEGALS,NEWSOM PROPOSES HEALTH BENEFITS FOR ILLEGALS
156,2020-01-11 13:41:13,FOXNEWSW,10,FOXNEWSW_20200111_110000_FOX_and_Friends_Saturday/start/9660,TX GOV ABBOTT SHUTS STATE OFF FROM NEW REFUGEES,TX GOV ABBOTT SHUTS STATE OFF FROM NEW REFUGEES,TX GOV ABBOTT SHUTS STATE OFF FROM NEW REFUGEES
162,2020-01-11 18:18:27,FOXNEWSW,3,FOXNEWSW_20200111_180000_Americas_News_Headquarters/start/1080,TEXAS 0PTS OUT OF REFUGEE RESETILEMENT PROGRAM,TEXAS 0PTS OUT OF REFUGEE RESETILEMENT PROGRAM,TEXAS OPTS OUT OF REFUGEE RESETTLEMENT PROGRAM
164,2020-01-11 19:13:13,CNNW,21,CNNW_20200111_190000_CNN_Newsroom_With_Fredricka_Whitfield/start/780,TEXAS OPTS OUT OF TAKING REFUGEES IN 2020. . First state to do so under President Trump's Executive Order,TEXAS OPTS OUT OF TAKING REFUGEES IN 2020 First state to do so under President Trumps Executive Order,IMMIGRATION COURT BACKLOG GROWS
165,2020-01-11 19:13:34,CNNW,15,CNNW_20200111_190000_CNN_Newsroom_With_Fredricka_Whitfield/start/780,TEXAS 0PTS OUT OF TAKING REFUGEES IN 2020. . Rep. Vicente Gonzalez (D) Texas,TEXAS 0PTS OUT OF TAKING REFUGEES IN 2020 Rep Vicente Gonzalez D Texas,Texas opts out of taking refugees in 2020 Rep Vicente Gonzalez D Texas
169,2020-01-11 21:21:54,FOXNEWSW,2,FOXNEWSW_20200111_210000_Americas_News_Headquarters/start/1260,b CHRISTINA COLEMAN. . GOV GREG ABBOTT SAYS NEW REFUGEES. wm Mm H: Al I nwm Tn RFÂ§F1TI F IN TFXA;,b CHRISTINA COLEMAN GOV GREG ABBOTT SAYS NEW REFUGEES wm Mm H Al I nwm Tn RFF1TI F IN TFXA,Christina Coleman Gov Greg Abbott says new refugees will not be accepted in Texas
170,2020-01-11 21:23:00,FOXNEWSW,3,FOXNEWSW_20200111_210000_Americas_News_Headquarters/start/1380,"KRISH O'MARA VIGNARAJAH, PRESIDENT & CEO,. LUTHERAN IMMIGRATION AND REFUGEE SERVICES. . YESTERDAY -",KRISH OMARA VIGNARAJAH PRESIDENT CEO LUTHERAN IMMIGRATION AND REFUGEE SERVICES YESTERDAY,Krish Omara Vignarajah President CEO Lutheran Immigration and Refugee Services yesterday
171,2020-01-11 22:58:00,FOXNEWSW,2,FOXNEWSW_20200111_210000_Americas_News_Headquarters/start/7080,"TEXAS DECISION T0 N0 LONGERACCEPTTHE RESETTLEMENT ' mstiï¬ "". . 0F REFUGEES MADE POSSIBLE BY TRUMP EXECUTIVE ORDER w'. . , 7 m unuc HA1 I KUDVÂ§IHHAN|",TEXAS DECISION T0 N0 LONGERACCEPTTHE RESETTLEMENT msti 0F REFUGEES MADE POSSIBLE BY TRUMP EXECUTIVE ORDER w 7 m unuc HA1 I KUDVIHHAN,Texas decision to no longer accept the resettlement of refugees made possible by Trump executive order
173,2020-01-11 23:44:26,FOXNEWSW,2,FOXNEWSW_20200111_230000_Fox_Report_with_Jon_Scott/start/2640,"TEXAS OPTS OUT OF REFUGEE RESETILEMENT PROGRAM ' ââ. . FIG-""""1",TEXAS OPTS OUT OF REFUGEE RESETILEMENT PROGRAM FIG1,Texas opts out of refugee resettlement program
174,2020-01-11 23:46:09,FOXNEWSW,5,FOXNEWSW_20200111_230000_Fox_Report_with_Jon_Scott/start/2760,FEDERAL JUDGE IS EXPECTED TO RULE SOON ON. NEW REFUGEE RESE'ITLEMENT OPT OUT POLICY,FEDERAL JUDGE IS EXPECTED TO RULE SOON ON NEW REFUGEE RESEITLEMENT OPT OUT POLICY,Federal judge is expected to rule soon on new refugee resettlement opt-out policy
176,2020-01-12 02:07:17,BBCNEWS,2,BBCNEWS_20200112_020000_BBC_News/start/420,"Migrant boat sinks off Greece. At least 12 people die, 21 rescued",Migrant boat sinks off Greece At least 12 people die 21 rescued,Migrant boat sinks off Greece at least 12 people die 21 rescued
180,2020-01-12 12:45:00,FOXNEWSW,6,FOXNEWSW_20200112_110000_FOX_and_Friends_Sunday/start/6300,IDAHO GOP PUSHES BILL TO GIVE LICENSES TO ILLEGALS,IDAHO GOP PUSHES BILL TO GIVE LICENSES TO ILLEGALS,IDAHO GOP PUSHES BILL TO GIVE LICENSES TO ILLEGALS
181,2020-01-12 12:46:15,FOXNEWSW,38,FOXNEWSW_20200112_110000_FOX_and_Friends_Sunday/start/6360,ICE SLAMS IL COUNTY FOR IGNORING DETAINER REQUESTS,ICE SLAMS IL COUNTY FOR IGNORING DETAINER REQUESTS,ICE SLAMS IL COUNTY FOR IGNORING DETAINER REQUESTS
183,2020-01-12 14:49:00,FOXNEWSW,3,FOXNEWSW_20200112_110000_FOX_and_Friends_Sunday/start/13740,' VENEZUELAN REFUGEE WARNS AGAINST SOCIALIST AMERICA,VENEZUELAN REFUGEE WARNS AGAINST SOCIALIST AMERICA,VENEZUELAN REFUGEE WARNS AGAINST SOCIALIST AMERICA
186,2020-01-12 21:41:05,MSNBCW,2,MSNBCW_20200112_210000_MSNBC_Live/start/2460,TEXAS BECOMES FIRST STATE T0 REJECT RESEITLING REFUGEES,TEXAS BECOMES FIRST STATE T0 REJECT RESEITLING REFUGEES,TEXAS BECOMES FIRST STATE T0 REJECT RESEITLING REFUGEES
187,2020-01-12 21:41:42,MSNBCW,2,MSNBCW_20200112_210000_MSNBC_Live/start/2460,GOVERNOR GREG ABBOTT REJECTS. REFUGEES FROM RESETI'LING IN TEXAS,GOVERNOR GREG ABBOTT REJECTS REFUGEES FROM RESETILING IN TEXAS,GOVERNOR GREG ABBOTT REJECTS REFUGEES FROM RESETILING IN TEXAS
188,2020-01-12 21:42:18,MSNBCW,2,MSNBCW_20200112_210000_MSNBC_Live/start/2520,PEW RESEARCH CENTER: TEXAS RESE'I'I'LED. HIGHEST NUMBER OF REFUGEES IN 2019,PEW RESEARCH CENTER TEXAS RESEIILED HIGHEST NUMBER OF REFUGEES IN 2019,PEW RESEARCH CENTER TEXAS RESEIILED HIGHEST NUMBER OF REFUGEES IN 2019
189,2020-01-12 21:43:01,MSNBCW,2,MSNBCW_20200112_210000_MSNBC_Live/start/2580,19 REPUBLICAN GOVERNORS AGREE TO ALLOW. NEW REFUGEES TO RESETTLE IN STATE,19 REPUBLICAN GOVERNORS AGREE TO ALLOW NEW REFUGEES TO RESETTLE IN STATE,19 REPUBLICAN GOVERNORS AGREE TO ALLOW NEW REFUGEES TO RESETTLE IN STATE
190,2020-01-12 21:44:08,MSNBCW,6,MSNBCW_20200112_210000_MSNBC_Live/start/2640,42 STATES AGREE TO CONTINUE ACCEPTING NEW REFUGEES,42 STATES AGREE TO CONTINUE ACCEPTING NEW REFUGEES,42 STATES AGREE TO CONTINUE ACCEPTING NEW REFUGEES
195,2020-01-13 06:37:57,CNNW,2,CNNW_20200113_060000_CNN_Newsroom_Live/start/2220,HUMAN RIGHTS WATCH: DIRECTOR DENIED ENTRY INTO HONG KONG. . Hong Kong immigration officials declined to comment on the specific case,HUMAN RIGHTS WATCH DIRECTOR DENIED ENTRY INTO HONG KONG Hong Kong immigration officials declined to comment on the specific case,HUMAN RIGHTS WATCH DIRECTOR DENIED ENTRY INTO HONG KONG Hong Kong immigration officials declined to comment on the specific case
200,2020-01-13 13:15:22,FOXNEWSW,5,FOXNEWSW_20200113_110000_FOX_and_Friends/start/8100,PROGRESS AT THE BORDER,PROGRESS AT THE BORDER,PROGRESS AT THE BORDER
202,2020-01-13 13:20:18,FOXNEWSW,7,FOXNEWSW_20200113_110000_FOX_and_Friends/start/8400,TRUMP ADMIN TOUTS 100 MILES OF NEW BORDER WALL,TRUMP ADMIN TOUTS 100 MILES OF NEW BORDER WALL,TRUMP ADMIN TOUTS 100 MILES OF NEW BORDER WALL
203,2020-01-13 13:22:00,FOXNEWSW,20,FOXNEWSW_20200113_110000_FOX_and_Friends/start/8520,SECURING OUR BORDER,SECURING OUR BORDER,SECURING OUR BORDER
210,2020-01-13 21:37:56,BBCNEWS,2,BBCNEWS_20200113_213700_,Irish Foreign Ministe},Irish Foreign Ministe,Irish Foreign Ministe
217,2020-01-14 09:35:46,FOXNEWSW,2,FOXNEWSW_20200114_090000_FOX__Friends_First/start/2100,BORDER WALL BILLIONS. WAPO: TRUMP ADMIN TO UÂ§E $7.23 FR-OM PENTAGON FOR WALL,BORDER WALL BILLIONS WAPO TRUMP ADMIN TO UE 723 FROM PENTAGON FOR WALL,BORDER WALL BILLIONS WAPO TRUMP ADMIN TO USE 723 FROM PENTAGON FOR WALL
219,2020-01-14 11:16:47,FOXNEWSW,3,FOXNEWSW_20200114_110000_FOX_and_Friends/start/960,TEXAS TURNS DOWN REFUGEES,TEXAS TURNS DOWN REFUGEES,TEXAS TURNS DOWN REFUGEES
220,2020-01-14 11:21:36,FOXNEWSW,8,FOXNEWSW_20200114_110000_FOX_and_Friends/start/1260,TX IS FIRST STATE TO CLOSE DOOR ON NEW REFUGEES,TX IS FIRST STATE TO CLOSE DOOR ON NEW REFUGEES,TX IS FIRST STATE TO CLOSE DOOR ON NEW REFUGEES
242,2020-01-15 11:16:29,FOXNEWSW,4,FOXNEWSW_20200115_110000_FOX_and_Friends/start/960,PROTECTING THE BORDER,PROTECTING THE BORDER,PROTECTING THE BORDER
243,2020-01-15 11:21:15,FOXNEWSW,4,FOXNEWSW_20200115_110000_FOX_and_Friends/start/1260,I TRUMP BLASTS DEMS OVER IMMIGRATION AT WI RALLY,I TRUMP BLASTS DEMS OVER IMMIGRATION AT WI RALLY,TRUMP BLASTS DEMS OVER IMMIGRATION AT WI RALLY
244,2020-01-15 11:21:36,FOXNEWSW,7,FOXNEWSW_20200115_110000_FOX_and_Friends/start/1260,DEMS AVOID IMMIGRATION IN 2020 DEBATE,DEMS AVOID IMMIGRATION IN 2020 DEBATE,DEMS AVOID IMMIGRATION IN 2020 DEBATE
245,2020-01-15 18:20:26,BBCNEWS,3,BBCNEWS_20200115_180000_BBC_News_at_Six/start/1200,Immigration lawyer,Immigration lawyer,Immigration lawyer
253,2020-01-15 23:41:27,FOXNEWSW,2,FOXNEWSW_20200115_230000_Special_Report_With_Bret_Baier/start/2460,. PRESIDENT TRUMP IMPEACHMENT. . IJI'\I ICE âEl âIEDC hnf'l IAAEKI'I'C 'I'I'\ CELIA'I'E DA'IIKIQ \AIAV CAD 'I'DIAI,PRESIDENT TRUMP IMPEACHMENT IJII ICE El IEDC hnfl IAAEKIIC II CELIAIE DAIIKIQ AIAV CAD IDIAI,Central America migrants Mexico will not grant transit visas for new caravan
256,2020-01-16 09:33:11,FOXNEWSW,2,FOXNEWSW_20200116_090000_FOX__Friends_First/start/1980,NEW CARAVAN COMING. HUNDREDS OF MIGRANTS MARCH FROM HONDURAS T0 u.s.,NEW CARAVAN COMING HUNDREDS OF MIGRANTS MARCH FROM HONDURAS T0 us,NEW CARAVAN COMING HUNDREDS OF MIGRANTS MARCH FROM HONDURAS TO US
257,2020-01-16 10:06:48,FOXNEWSW,2,FOXNEWSW_20200116_100000_FOX__Friends_First/start/360,REFUGEE ORDER BLOCKED. TRUMP ADMIN EXPECTED 19 ARREAL D-ECISION ON EXEC ORDER,REFUGEE ORDER BLOCKED TRUMP ADMIN EXPECTED 19 ARREAL DECISION ON EXEC ORDER,REFUGEE ORDER BLOCKED TRUMP ADMIN EXPECTED 19 ARREAL DECISION ON EXEC ORDER
