,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2019-01-01 01:11:40,BBCNEWS,3,BBCNEWS_20190101_010000_BBC_News/start/660,BEN BANG. Seeking Sanctuary migrant support group,BEN BANG Seeking Sanctuary migrant support group,BEN BANG Seeking Sanctuary migrant support group
1,2019-01-01 09:06:00,BBCNEWS,4,BBCNEWS_20190101_090000_BBC_News/start/360,NEW HORIZONS FLY-BY. Ukima Thule is a lump o( ice and dust 6.5bn km tram earth,NEW HORIZONS FLYBY Ukima Thule is a lump o ice and dust 65bn km tram earth,
2,2019-01-01 11:09:01,FOXNEWSW,2,FOXNEWSW_20190101_110000_FOX__Friends/start/540,GOVE RNME NT. . TRUMP STANDS FIRM ON NEED FOR BORDER WALL. . 10:07:06:48,GOVE RNME NT TRUMP STANDS FIRM ON NEED FOR BORDER WALL 10070648,GOVERNMENT TRUMP STANDS FIRM ON NEED FOR BORDER WALL
3,2019-01-01 11:20:15,FOXNEWSW,9,FOXNEWSW_20190101_110000_FOX__Friends/start/1200,PARDONING ILLEGALS,PARDONING ILLEGALS,PARDONING ILLEGALS
4,2019-01-01 11:21:29,MSNBCW,6,MSNBCW_20190101_110000_Morning_Joe/start/1260,AP POLL: TOP 10 STORIES OF 2018. . #6: US. IMMIGRATION,AP POLL TOP 10 STORIES OF 2018 6 US IMMIGRATION,AP POLL TOP 10 STORIES OF 2018 6 US IMMIGRATION
5,2019-01-01 11:39:48,FOXNEWSW,3,FOXNEWSW_20190101_110000_FOX__Friends/start/2340,". CUOMO SLAMS TRUMP, PARDONS 22 IMMIGRANTS",CUOMO SLAMS TRUMP PARDONS 22 IMMIGRANTS,CUOMO SLAMS TRUMP PARDONS 22 IMMIGRANTS
6,2019-01-01 12:07:00,FOXNEWSW,2,FOXNEWSW_20190101_110000_FOX__Friends/start/4020,"GOVE RNME NT. . NEW YEAR, NEW BORDER BA1TLE. . 10:07:05:47",GOVE RNME NT NEW YEAR NEW BORDER BA1TLE 10070547,GOVERNMENT NEW YEAR NEW BORDER BATTLE
8,2019-01-01 12:45:04,FOXNEWSW,9,FOXNEWSW_20190101_110000_FOX__Friends/start/6300,CUOMO' S 29 CLEMENCIES INCL ILLEGALS & KILLERS,CUOMO S 29 CLEMENCIES INCL ILLEGALS KILLERS,CUOMO'S 29 CLEMENCIES INCLUDE ILLEGALS KILLERS
9,2019-01-01 12:46:10,FOXNEWSW,53,FOXNEWSW_20190101_110000_FOX__Friends/start/6360,CUOMO PARDONS 22 FACING DEPORTATION,CUOMO PARDONS 22 FACING DEPORTATION,CUOMO PARDONS 22 FACING DEPORTATION
10,2019-01-01 13:01:35,MSNBCW,8,MSNBCW_20190101_130000_MSNBC_Live/start/60,"TRUMP: ""WE HAVE NO CHOICE"" BUT TO CONTINUE GOVT.. SHUTDOWN UNTIL THERE IS MONEY FOR BORDER SECURITY",TRUMP WE HAVE NO CHOICE BUT TO CONTINUE GOVT SHUTDOWN UNTIL THERE IS MONEY FOR BORDER SECURITY,TRUMP WE HAVE NO CHOICE BUT TO CONTINUE GOVT SHUTDOWN UNTIL THERE IS MONEY FOR BORDER SECURITY
