,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2021-01-01 04:27:01,FOXNEWSW,2,FOXNEWSW_20210101_040000_The_Greg_Gutfeld_Show/start/1620,ALIEN. TAPE,ALIEN TAPE,
5,2021-01-01 12:34:00,MSNBCW,8,MSNBCW_20210101_120000_MSNBC_Live/start/2040,TRUMP EXTENDS PANDEMIC-RELATEI] BANS 0N GREEN CARDS AND WORK VISAS,TRUMP EXTENDS PANDEMICRELATEI BANS 0N GREEN CARDS AND WORK VISAS,TRUMP EXTENDS PANDEMIC RELATED BANS ON GREEN CARDS AND WORK VISAS
10,2021-01-02 21:45:07,MSNBCW,2,MSNBCW_20210102_210000_MSNBC_Live_with_Yasmin_Vossoughian/start/2700,"POLITICO: TRUMP ADMIN. MISSES DEADLINE FOR CENSUS FIGURES,. LEAVING OPENING T0 REVERSE EFFORT TO EXCLUDE IMMIGRANTS",POLITICO TRUMP ADMIN MISSES DEADLINE FOR CENSUS FIGURES LEAVING OPENING T0 REVERSE EFFORT TO EXCLUDE IMMIGRANTS,POLITICO TRUMP ADMIN MISSES DEADLINE FOR CENSUS FIGURES LEAVING OPENING TO REVERSE EFFORT TO EXCLUDE IMMIGRANTS
16,2021-01-05 02:30:00,FOXNEWSW,2,FOXNEWSW_20210105_020000_Hannity/start/1800,PRESIDENT TRUMP MAKES THE CASE. FOR STRONG IMMIGRATION POLICIES,PRESIDENT TRUMP MAKES THE CASE FOR STRONG IMMIGRATION POLICIES,PRESIDENT TRUMP MAKES THE CASE FOR STRONG IMMIGRATION POLICIES
23,2021-01-05 23:30:01,CNNW,2,CNNW_20210105_210000_Election_Day_in_America_Georgia_Senate_Runoffs/start/9000,"FII'HI- nvvn Ulâ VV I mu UI'UI-I'I i'VVHI, JLI'HI L \IVI' I HUI- HI OIHRE. . POLLS CLOSE IN 5' ' ' 7' . âGEORGIASENATE RUNOFF",FIIHI nvvn Ul VV I mu UIUIII iVVHI JLIHI L IVI I HUI HI OIHRE POLLS CLOSE IN 5 7 GEORGIASENATE RUNOFF,REMOVAL AND DETENTION NY DEMS BILL WOULD ALLOW ARREST OF DISEASE CARRIERS
26,2021-01-06 05:44:00,BBCNEWS,3,BBCNEWS_20210106_053000_World_Business_Report/start/840,Coronavirus: UK arrivals. Proof of negative Cavid 19 tes' could be required to enter the UK,Coronavirus UK arrivals Proof of negative Cavid 19 tes could be required to enter the UK,Coronavirus Virus border security Labour accuses Home Sec of leaving nation's doors unlocked to new variant
32,2021-01-07 14:36:00,FOXNEWSW,4,FOXNEWSW_20210107_140000_Americas_Newsroom/start/2160,> KEN CUCCINELLI | ACTING DHS DEPUTY SECRETARY. . âBl-\II'LI'I'ILII' AKIA'I'I Il'n I'AHI'I'AI nl'l'AI'II,KEN CUCCINELLI ACTING DHS DEPUTY SECRETARY BlIILIIILII AKIAII Iln IAHIIAI nllAIII,KEN CUCCINELLI ACTING DHS DEPUTY SECRETARY
35,2021-01-07 15:10:00,MSNBCW,12,MSNBCW_20210107_150000_MSNBC_Live_With_Hallie_Jackson/start/600,ACTING DHS SECY.: I WILL STAY IN OFFICE TO ENSURE ORDERLY TRANSITION,ACTING DHS SECY I WILL STAY IN OFFICE TO ENSURE ORDERLY TRANSITION,ACTING DHS SECY I WILL STAY IN OFFICE TO ENSURE ORDERLY TRANSITION
37,2021-01-07 15:11:00,MSNBCW,7,MSNBCW_20210107_150000_MSNBC_Live_With_Hallie_Jackson/start/660,ACTING DHS SECY.: | IMPLORE TRUMP T0 STRONGLY CONDEMN THE VIOLENCE,ACTING DHS SECY IMPLORE TRUMP T0 STRONGLY CONDEMN THE VIOLENCE,ACTING DHS SECY IMPLORE TRUMP TO STRONGLY CONDEMN THE VIOLENCE
38,2021-01-07 15:23:00,CNNW,5,CNNW_20210107_150000_CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto/start/1380,"ACTING DHS CHIEF URGES TRUMP T0 ""STRONGLY CONDEMN THE VIOLENCE"". . Steve Vladeck Professor of Law, University of Texas School of Law",ACTING DHS CHIEF URGES TRUMP T0 STRONGLY CONDEMN THE VIOLENCE Steve Vladeck Professor of Law University of Texas School of Law,ACTING DHS CHIEF URGES TRUMP TO STRONGLY CONDEMN THE VIOLENCE
40,2021-01-07 19:49:00,FOXNEWSW,2,FOXNEWSW_20210107_190000_The_Daily_Briefing_With_Dana_Perino/start/2940,. > TOM HOMAWNQQABECTOR OF ICE. . I' A I'|I'I'I\I hï¬l' AI'I I I'I A llâl'l' (I'I'l Il'll'l'\l ï¬nk Ifl'l'illl',TOM HOMAWNQQABECTOR OF ICE I A IIIII hl AII I II A llll IIl Illlll nk Ifllilll,TOM HOMAWNQQABECTOR OF ICE
