,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2022-01-01 13:43:00,MSNBCW,2,MSNBCW_20220101_130000_Velshi/start/2580,For the acute treatment of migraine in adults and the ;?eventive treatment. of episodic migraine in adults. Prescription only. Individual results may vary,For the acute treatment of migraine in adults and the eventive treatment of episodic migraine in adults Prescription only Individual results may vary,
5,2022-01-01 21:04:55,BBCNEWS,2,BBCNEWS_20220101_210000_BBC_News/start/240,1taly migrants rescue. Ship carrying hundreds of migrants disembarks at Pozzallo port,1taly migrants rescue Ship carrying hundreds of migrants disembarks at Pozzallo port,Italy migrants rescue Ship carrying hundreds of migrants disembarks at Pozzallo port
6,2022-01-01 21:05:13,BBCNEWS,3,BBCNEWS_20220101_210000_BBC_News/start/300,1taly migrants rescue. 440 people on ship were rescued at sea by German charity,1taly migrants rescue 440 people on ship were rescued at sea by German charity,Italy migrants rescue 440 people on ship were rescued at sea by German charity
7,2022-01-01 21:05:17,BBCNEWS,5,BBCNEWS_20220101_210000_BBC_News/start/300,1taly migrants rescue. Charity group Sea Watch 3's vessels sought to disembark for past week,1taly migrants rescue Charity group Sea Watch 3s vessels sought to disembark for past week,Italy migrants rescue Charity group Sea Watch 3's vessels sought to disembark for past week
8,2022-01-01 21:05:29,BBCNEWS,3,BBCNEWS_20220101_210000_BBC_News/start/300,Italy migrants rescue. Those onboard ship were mostly from Africa,Italy migrants rescue Those onboard ship were mostly from Africa,Italy migrants rescue Those onboard ship were mostly from Africa
9,2022-01-02 02:38:00,FOXNEWSW,2,FOXNEWSW_20220102_020000_Justice_With_Judge_Jeanine/start/2280,(BIDEN POLICIES EXACERBATE BORDER CRISIS,BIDEN POLICIES EXACERBATE BORDER CRISIS,BIDEN POLICIES EXACERBATE BORDER CRISIS
10,2022-01-02 02:40:58,FOXNEWSW,2,FOXNEWSW_20220102_020000_Justice_With_Judge_Jeanine/start/2400,AZ ATTY GENERAL SLAMS BIDEN'S BORDER POLICIES (S,AZ ATTY GENERAL SLAMS BIDENS BORDER POLICIES S,AZ ATTY GENERAL SLAMS BIDEN'S BORDER POLICIES
11,2022-01-02 03:04:47,MSNBCW,2,MSNBCW_20220102_020000_Paper__Glue/start/3840,SO e. The U. S. Immigration and Customs Enforcement,SO e The U S Immigration and Customs Enforcement,SO e The U.S. Immigration and Customs Enforcement
12,2022-01-02 03:23:13,MSNBCW,2,MSNBCW_20220102_020000_Paper__Glue/start/4980,"Every week I'm trying to reach out to ICE 2l. about the parole,",Every week Im trying to reach out to ICE 2l about the parole,Every week I'm trying to reach out to ICE about the parole
13,2022-01-02 03:24:16,MSNBCW,2,MSNBCW_20220102_020000_Paper__Glue/start/5040,"2y. Somebody who was detained by ICE,",2y Somebody who was detained by ICE,Somebody who was detained by ICE
14,2022-01-02 08:42:00,FOXNEWSW,2,FOXNEWSW_20220102_080000_Justice_With_Judge_Jeanine/start/2520,L el R RSN. FENTANYL POURING ACROSS SOUTHERN BORDER |53t,L el R RSN FENTANYL POURING ACROSS SOUTHERN BORDER 53t,FENTANYL POURING ACROSS SOUTHERN BORDER
15,2022-01-02 12:07:00,FOXNEWSW,4,FOXNEWSW_20220102_110000_FOX_and_Friends_Sunday/start/4020,WH FACES INTENSIFYING BORDER CRISIS AS 2022 BEGINS,WH FACES INTENSIFYING BORDER CRISIS AS 2022 BEGINS,WH FACES INTENSIFYING BORDER CRISIS AS 2022 BEGINS
17,2022-01-02 12:08:40,FOXNEWSW,2,FOXNEWSW_20220102_110000_FOX_and_Friends_Sunday/start/4080,ADMIN FACES GROWING BACKLASH OVER BORDER RESPONSE |(izendy (),ADMIN FACES GROWING BACKLASH OVER BORDER RESPONSE izendy,ADMIN FACES GROWING BACKLASH OVER BORDER RESPONSE
18,2022-01-02 12:09:57,FOXNEWSW,2,FOXNEWSW_20220102_110000_FOX_and_Friends_Sunday/start/4140,MIGRANT ARRESTS AT BORDER HIT NEW RECORD IN 2021,MIGRANT ARRESTS AT BORDER HIT NEW RECORD IN 2021,MIGRANT ARRESTS AT BORDER HIT NEW RECORD IN 2021
22,2022-01-02 15:41:07,FOXNEWSW,7,FOXNEWSW_20220102_150000_Sunday_Morning_Futures_With_Maria_Bartiromo/start/2460,' TX GOV BLAMES BIDEN FOR MIGRANT CRISIS AT BORDER,TX GOV BLAMES BIDEN FOR MIGRANT CRISIS AT BORDER,TX GOV BLAMES BIDEN FOR MIGRANT CRISIS AT BORDER
23,2022-01-02 17:10:00,FOXNEWSW,2,FOXNEWSW_20220102_170000_Fox_News_Live/start/600,/_lll. MIGRANT SURGE CONTINUES AT THE SOUTHERN BORDER lmum g_,lll MIGRANT SURGE CONTINUES AT THE SOUTHERN BORDER lmum g,MIGRANT SURGE CONTINUES AT THE SOUTHERN BORDER
25,2022-01-02 21:34:45,MSNBCW,2,MSNBCW_20220102_210000_Yasmin_Vossoughian_Reports/start/2040,CONGRESIONAL HISPANIC CAUCUS LOOKS. TO 2022 TO IMPLEMENT IMMIGRATION REFORM,CONGRESIONAL HISPANIC CAUCUS LOOKS TO 2022 TO IMPLEMENT IMMIGRATION REFORM,CONGRESSIONAL HISPANIC CAUCUS LOOKS TO 2022 TO IMPLEMENT IMMIGRATION REFORM
26,2022-01-02 21:41:00,MSNBCW,2,MSNBCW_20220102_210000_Yasmin_Vossoughian_Reports/start/2460,AFGHAN REFUGEE FAMILY ON THEIR JOURNEY,AFGHAN REFUGEE FAMILY ON THEIR JOURNEY,AFGHAN REFUGEE FAMILY ON THEIR JOURNEY
27,2022-01-02 21:41:39,MSNBCW,4,MSNBCW_20220102_210000_Yasmin_Vossoughian_Reports/start/2460,LUTHERAN SOCIAL SERVICES. LAURA COOK RESETTLEMENT DIRECTOR,LUTHERAN SOCIAL SERVICES LAURA COOK RESETTLEMENT DIRECTOR,LUTHERAN SOCIAL SERVICES LAURA COOK RESETTLEMENT DIRECTOR
28,2022-01-03 02:57:00,FOXNEWSW,4,FOXNEWSW_20220103_020000_The_Next_Revolution_With_Steve_Hilton/start/3420,SOUTHERN BORDER CRISIS REMAINS UNSOI.VED,SOUTHERN BORDER CRISIS REMAINS UNSOIVED,SOUTHERN BORDER CRISIS REMAINS UNSOLVED
29,2022-01-03 02:57:53,FOXNEWSW,8,FOXNEWSW_20220103_020000_The_Next_Revolution_With_Steve_Hilton/start/3420,' Â» TOM HOMAN | FORMER ACTING ICE DIRECTOR,TOM HOMAN FORMER ACTING ICE DIRECTOR,TOM HOMAN FORMER ACTING ICE DIRECTOR
30,2022-01-03 02:59:45,FOXNEWSW,7,FOXNEWSW_20220103_020000_The_Next_Revolution_With_Steve_Hilton/start/3540,"MIGRANT ENCOUNTERS SURGE 2 405% IN YUMA, AZ",MIGRANT ENCOUNTERS SURGE 2 405 IN YUMA AZ,MIGRANT ENCOUNTERS SURGE 2405 IN YUMA AZ
32,2022-01-03 10:57:25,FOXNEWSW,2,FOXNEWSW_20220103_100000_FOX__Friends_First/start/3420,BORDER OFFICIALS FED UP WITH BIDEN'S POLICIES,BORDER OFFICIALS FED UP WITH BIDENS POLICIES,BORDER OFFICIALS FED UP WITH BIDEN'S POLICIES
33,2022-01-03 10:58:19,FOXNEWSW,2,FOXNEWSW_20220103_100000_FOX__Friends_First/start/3480,LEADERS PLEAD WITH WH TO DO MORE FOR BORDER SAFETY,LEADERS PLEAD WITH WH TO DO MORE FOR BORDER SAFETY,LEADERS PLEAD WITH WH TO DO MORE FOR BORDER SAFETY
34,2022-01-03 10:58:58,FOXNEWSW,3,FOXNEWSW_20220103_100000_FOX__Friends_First/start/3480,FENTANYL SURGES AT BORDER AS AGENTS OVERWHELMED,FENTANYL SURGES AT BORDER AS AGENTS OVERWHELMED,FENTANYL SURGES AT BORDER AS AGENTS OVERWHELMED
36,2022-01-03 13:14:22,FOXNEWSW,2,FOXNEWSW_20220103_110000_FOX_and_Friends/start/8040,L e. FORMER DEA AGENT WARNS OF FENTANYL SURGE AT BORDER,L e FORMER DEA AGENT WARNS OF FENTANYL SURGE AT BORDER,FORMER DEA AGENT WARNS OF FENTANYL SURGE AT BORDER
39,2022-01-03 14:16:48,FOXNEWSW,4,FOXNEWSW_20220103_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/960,Â» CHAD WOLF | FMR ACTING DHS SECRETARY,CHAD WOLF FMR ACTING DHS SECRETARY,CHAD WOLF FMR ACTING DHS SECRETARY
40,2022-01-03 14:17:00,FOXNEWSW,3,FOXNEWSW_20220103_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/1020,FMR ACTING DHS CHIEF SLAMS BIDEN BORDER POLICY,FMR ACTING DHS CHIEF SLAMS BIDEN BORDER POLICY,FMR ACTING DHS CHIEF SLAMS BIDEN BORDER POLICY
41,2022-01-03 14:19:00,FOXNEWSW,2,FOXNEWSW_20220103_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/1140,CBP: MIGRANTS ENCOUNTERED AT BORDER AT RECORD HIGH,CBP MIGRANTS ENCOUNTERED AT BORDER AT RECORD HIGH,CBP MIGRANTS ENCOUNTERED AT BORDER AT RECORD HIGH
42,2022-01-03 18:17:31,BBCNEWS,8,BBCNEWS_20220103_180000_BBC_News/start/1020,Channel migration 1gures. Number of people crossing to UK has tripled in a year,Channel migration 1gures Number of people crossing to UK has tripled in a year,Channel migration figures Number of people crossing to UK has tripled in a year
43,2022-01-03 18:17:42,BBCNEWS,3,BBCNEWS_20220103_180000_BBC_News/start/1020,"Channel migration 1gures. BBC: 28,300 made crossing in small boats in 2021",Channel migration 1gures BBC 28300 made crossing in small boats in 2021,Channel migration figures BBC 28300 made crossing in small boats in 2021
44,2022-01-03 18:19:00,BBCNEWS,6,BBCNEWS_20220103_180000_BBC_News/start/1140,Channel migration 1gures. Many switched to boats after crackdown on lorries at Calais,Channel migration 1gures Many switched to boats after crackdown on lorries at Calais,Channel migration figures Many switched to boats after crackdown on lorries at Calais
45,2022-01-03 18:19:12,BBCNEWS,5,BBCNEWS_20220103_180000_BBC_News/start/1140,"Channel migration 1gures. UK Govt: ""Reforming"" its approach through New Plan for Immigration",Channel migration 1gures UK Govt Reforming its approach through New Plan for Immigration,Channel migration figures UK Govt Reforming its approach through New Plan for Immigration
46,2022-01-03 18:19:19,BBCNEWS,9,BBCNEWS_20220103_180000_BBC_News/start/1140,Channel migration 1gures. Critics say UK govt should produce official figures on crossings,Channel migration 1gures Critics say UK govt should produce official figures on crossings,Channel migration figures Critics say UK govt should produce official figures on crossings
49,2022-01-03 19:30:44,BBCNEWS,8,BBCNEWS_20220103_190000_BBC_News/start/1800,'Channel migrant crossings,Channel migrant crossings,Channel migrant crossings
52,2022-01-04 00:43:42,FOXNEWSW,3,FOXNEWSW_20220104_000000_FOX_News_Primetime/start/2580,""" RPT: BIDEN ADMIN IS FLYING ILLEGAL MIGRANTS. IN THE MIDDLE OF THE NIGHT",RPT BIDEN ADMIN IS FLYING ILLEGAL MIGRANTS IN THE MIDDLE OF THE NIGHT,RPT BIDEN ADMIN IS FLYING ILLEGAL MIGRANTS IN THE MIDDLE OF THE NIGHT
55,2022-01-04 05:39:18,BBCNEWS,2,BBCNEWS_20220104_053000_World_Business_Report/start/540,"Supply chain Crisis. The UK Home Office has recruited 2,000 extra Border Force staff",Supply chain Crisis The UK Home Office has recruited 2000 extra Border Force staff,Supply chain Crisis The UK Home Office has recruited 2000 extra Border Force staff
56,2022-01-04 09:32:44,FOXNEWSW,4,FOXNEWSW_20220104_090000_FOX__Friends_First/start/1920,BORDER FENTANYL SEIZURES OUTWEIGH HEROIN IN 2021,BORDER FENTANYL SEIZURES OUTWEIGH HEROIN IN 2021,BORDER FENTANYL SEIZURES OUTWEIGH HEROIN IN 2021
57,2022-01-04 09:33:55,FOXNEWSW,3,FOXNEWSW_20220104_090000_FOX__Friends_First/start/1980,DEADLY FENTANYL CONTINUES TO FLOOD THROUGH BORDER,DEADLY FENTANYL CONTINUES TO FLOOD THROUGH BORDER,DEADLY FENTANYL CONTINUES TO FLOOD THROUGH BORDER
58,2022-01-04 09:36:20,FOXNEWSW,4,FOXNEWSW_20220104_090000_FOX__Friends_First/start/2160,11.2K POUNDS OF FENTANYL SEIZED AT BORDER IN 2021,112K POUNDS OF FENTANYL SEIZED AT BORDER IN 2021,112K POUNDS OF FENTANYL SEIZED AT BORDER IN 2021
60,2022-01-04 13:43:16,FOXNEWSW,2,FOXNEWSW_20220104_110000_FOX_and_Friends/start/9780,BORDER PATROL AGENT SHOT AT FROM ACROSS BORDER,BORDER PATROL AGENT SHOT AT FROM ACROSS BORDER,BORDER PATROL AGENT SHOT AT FROM ACROSS BORDER
61,2022-01-04 13:43:44,FOXNEWSW,5,FOXNEWSW_20220104_110000_FOX_and_Friends/start/9780,CBP APPREHENDS MIGRANTS AFTER CHASE ENDS IN CRASH,CBP APPREHENDS MIGRANTS AFTER CHASE ENDS IN CRASH,CBP APPREHENDS MIGRANTS AFTER CHASE ENDS IN CRASH
62,2022-01-04 13:44:31,FOXNEWSW,3,FOXNEWSW_20220104_110000_FOX_and_Friends/start/9840,CBP RELEASES PHOTOS FROM METH SEIZURE AT BORDER,CBP RELEASES PHOTOS FROM METH SEIZURE AT BORDER,CBP RELEASES PHOTOS FROM METH SEIZURE AT BORDER
64,2022-01-04 14:36:00,FOXNEWSW,3,FOXNEWSW_20220104_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/2160,MIGRANT SURGE AT BORDER EXTENDS BEYOND TEXAS,MIGRANT SURGE AT BORDER EXTENDS BEYOND TEXAS,MIGRANT SURGE AT BORDER EXTENDS BEYOND TEXAS
65,2022-01-04 14:36:09,FOXNEWSW,2,FOXNEWSW_20220104_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/2160,"CBP: YUMA, AZ MIGRANT ENCOUNTERS UP 2,405% FYTD",CBP YUMA AZ MIGRANT ENCOUNTERS UP 2405 FYTD,CBP YUMA AZ MIGRANT ENCOUNTERS UP 2405 FYTD
66,2022-01-04 15:44:00,FOXNEWSW,5,FOXNEWSW_20220104_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/6240,MIGRANTS CONTINUE FLOODING SOUTHERN BORDER,MIGRANTS CONTINUE FLOODING SOUTHERN BORDER,MIGRANTS CONTINUE FLOODING SOUTHERN BORDER
67,2022-01-04 15:44:28,FOXNEWSW,4,FOXNEWSW_20220104_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/6240,"* TRUCK TRANSPORTING MIGRANTS CRASHES IN LAREDO, TX",TRUCK TRANSPORTING MIGRANTS CRASHES IN LAREDO TX,TRUCK TRANSPORTING MIGRANTS CRASHES IN LAREDO TX
78,2022-01-05 09:13:44,FOXNEWSW,2,FOXNEWSW_20220105_090000_FOX__Friends_First/start/780,REPUBLICANS PRESS DHS FOR RPT ON AFGHAN EVACUEES,REPUBLICANS PRESS DHS FOR RPT ON AFGHAN EVACUEES,REPUBLICANS PRESS DHS FOR REPORT ON AFGHAN EVACUEES
79,2022-01-05 12:25:31,FOXNEWSW,3,FOXNEWSW_20220105_110000_FOX_and_Friends/start/5100,AN. YUMA MAYOR SAYS CITY OVERWHELMED BY BORDER CRISIS,AN YUMA MAYOR SAYS CITY OVERWHELMED BY BORDER CRISIS,AN YUMA MAYOR SAYS CITY OVERWHELMED BY BORDER CRISIS
80,2022-01-05 13:26:53,FOXNEWSW,2,FOXNEWSW_20220105_110000_FOX_and_Friends/start/8760,F MIGRANT FLIGHTS,F MIGRANT FLIGHTS,F MIGRANT FLIGHTS
81,2022-01-05 14:23:04,FOXNEWSW,3,FOXNEWSW_20220105_140000_Americas_Newsroom_With_Bill_Hemmer__Dana_Perino/start/1380,"NEW YEAR, OLD CRISIS: MIGRANTS STILL ENTERING U.S.",NEW YEAR OLD CRISIS MIGRANTS STILL ENTERING US,NEW YEAR OLD CRISIS MIGRANTS STILL ENTERING US
84,2022-01-05 15:48:33,MSNBCW,3,MSNBCW_20220105_150000_Jose_Diaz-Balart_Reports/start/2880,SOME DEMS STILL PUSHING TO INCLUDE IMMIGRATION. 'REFORM IN THE BUILD BACK BETTER ACT,SOME DEMS STILL PUSHING TO INCLUDE IMMIGRATION REFORM IN THE BUILD BACK BETTER ACT,SOME DEMS STILL PUSHING TO INCLUDE IMMIGRATION REFORM IN THE BUILD BACK BETTER ACT
94,2022-01-05 18:49:06,CNNW,12,CNNW_20220105_180000_CNN_Newsroom_With_Ana_Cabrera/start/2940,DJOKOVIC CAUGHT IN VISA BUNGLE AS HE ARRIVES IN AUSTRALIA,DJOKOVIC CAUGHT IN VISA BUNGLE AS HE ARRIVES IN AUSTRALIA,DJOKOVIC CAUGHT IN VISA BUNGLE AS HE ARRIVES IN AUSTRALIA
97,2022-01-05 20:45:00,FOXNEWSW,2,FOXNEWSW_20220105_200000_The_Story_With_Martha_MacCallum/start/2700,AFGHAN REFUGEE SAYS THE TALIBAN KILLED HIS BROTHER,AFGHAN REFUGEE SAYS THE TALIBAN KILLED HIS BROTHER,AFGHAN REFUGEE SAYS THE TALIBAN KILLED HIS BROTHER
98,2022-01-05 21:20:25,BBCNEWS,14,BBCNEWS_20220105_210000_BBC_News/start/1200,Australian Open: DJoKovIC Visa row. Reports: Djokovic's visa has been revoked by Australian Govt,Australian Open DJoKovIC Visa row Reports Djokovics visa has been revoked by Australian Govt,Australian Open DJOKOVIC Visa row Reports Djokovic's visa has been revoked by Australian Govt
99,2022-01-05 21:20:46,BBCNEWS,3,BBCNEWS_20220105_210000_BBC_News/start/1200,Australian Open: DJoKovIC Visa row. Reports: Djokovic filing federal injunction to stop deportation,Australian Open DJoKovIC Visa row Reports Djokovic filing federal injunction to stop deportation,Australian Open DJOKOVIC Visa row Reports Djokovic filing federal injunction to stop deportation
100,2022-01-05 21:46:00,BBCNEWS,2,BBCNEWS_20220105_210000_BBC_News/start/2760,Australian Open: DjokoviC visa cancelled. Itis understood Djokovic may appeal the decision in court,Australian Open DjokoviC visa cancelled Itis understood Djokovic may appeal the decision in court,Australian Open DJOKOVIC visa cancelled It is understood Djokovic may appeal the decision in court
101,2022-01-05 21:46:12,BBCNEWS,10,BBCNEWS_20220105_210000_BBC_News/start/2760,Australian Open: DJokovic visa cancelled. The visa of Novak Djokovic has been cancelled by the Australian Border Force,Australian Open DJokovic visa cancelled The visa of Novak Djokovic has been cancelled by the Australian Border Force,Australian Open DJOKOVIC visa cancelled The visa of Novak Djokovic has been cancelled by the Australian Border Force
102,2022-01-05 21:52:01,CNNW,2,CNNW_20220105_210000_The_Lead_With_Jake_Tapper/start/3120,TENNIS SUPERSTAR NOVAK DJOKOVIC'S VISA REVOKED BY AUSTRALIAN GOVT,TENNIS SUPERSTAR NOVAK DJOKOVICS VISA REVOKED BY AUSTRALIAN GOVT,TENNIS SUPERSTAR NOVAK DJOKOVIC'S VISA REVOKED BY AUSTRALIAN GOVT
103,2022-01-05 23:05:12,BBCNEWS,10,BBCNEWS_20220105_230000_Newsday/start/300,"Australian Open: Djokovic visa cancelled. PM Scott Morrison: Rules are rules, especially when it comes to our borders",Australian Open Djokovic visa cancelled PM Scott Morrison Rules are rules especially when it comes to our borders,Australian Open DJOKOVIC visa cancelled PM Scott Morrison Rules are rules especially when it comes to our borders
104,2022-01-05 23:05:23,BBCNEWS,10,BBCNEWS_20220105_230000_Newsday/start/300,AUSTRALIA CANCELS VISA FOR TENNIS STAR NOVAK DJOKOVIC,AUSTRALIA CANCELS VISA FOR TENNIS STAR NOVAK DJOKOVIC,AUSTRALIA CANCELS VISA FOR TENNIS STAR NOVAK DJOKOVIC
107,2022-01-05 23:19:14,FOXNEWSW,2,FOXNEWSW_20220105_230000_Special_Report_With_Bret_Baier/start/1140,"ROUTINE OCCURRENCE. "" ALLEGED HUMAN SMUGGLER AND HIDDEN MIGRANTS ARRESTED",ROUTINE OCCURRENCE ALLEGED HUMAN SMUGGLER AND HIDDEN MIGRANTS ARRESTED,ROUTINE OCCURRENCE ALLEGED HUMAN SMUGGLER AND HIDDEN MIGRANTS ARRESTED
108,2022-01-05 23:20:23,FOXNEWSW,6,FOXNEWSW_20220105_230000_Special_Report_With_Bret_Baier/start/1200,WIDE NET. MIGRANTS FROM OVER 60 NATIONS CAUGHT IN NOVEMBER,WIDE NET MIGRANTS FROM OVER 60 NATIONS CAUGHT IN NOVEMBER,WIDE NET MIGRANTS FROM OVER 60 NATIONS CAUGHT IN NOVEMBER
109,2022-01-05 23:31:09,FOXNEWSW,4,FOXNEWSW_20220105_230000_Special_Report_With_Bret_Baier/start/1860,CONVERSATION SKILLS. TEXAS DEMOCRAT QUESTIONS HARRIS INTEREST IN BORDER,CONVERSATION SKILLS TEXAS DEMOCRAT QUESTIONS HARRIS INTEREST IN BORDER,CONVERSATION SKILLS TEXAS DEMOCRAT QUESTIONS HARRIS INTEREST IN BORDER
112,2022-01-06 01:05:26,BBCNEWS,9,BBCNEWS_20220106_010000_Newsday/start/300,"Australian Open: DJokovic visa cancelled. PM Scott Morrison: It's not about the individual, it's about the rules",Australian Open DJokovic visa cancelled PM Scott Morrison Its not about the individual its about the rules,Australian Open Djokovic visa cancelled Australian border force Djokovic will be detained and deported
113,2022-01-06 01:05:55,BBCNEWS,7,BBCNEWS_20220106_010000_Newsday/start/300,Australian Open: Djokovic visa cancelled. Australian border force: Djokavic will be detained and deported,Australian Open Djokovic visa cancelled Australian border force Djokavic will be detained and deported,AUSTRALIA CANCELS NOVAK DJOKOVIC'S VISA TO ENTER COUNTRY DAYS AHEAD OF THE AUSTRALIAN OPEN
114,2022-01-06 02:42:41,CNNW,6,CNNW_20220106_020000_Anderson_Cooper_360/start/2520,AUSTRALIA CANCELS NOVAK DJOKOVIC'S VISA TO ENT. COUNTRY DAYS AHEAD OF THE AUSTRALIAN OPEN,AUSTRALIA CANCELS NOVAK DJOKOVICS VISA TO ENT COUNTRY DAYS AHEAD OF THE AUSTRALIAN OPEN,B e HANNITY EXCLUSIVE SARA CARTER REPORTS FROM INSIDE A TEXAS DPS DRUG WAREHOUSE AS BIDEN BORDER CRISIS RAGES
115,2022-01-06 02:51:41,FOXNEWSW,3,FOXNEWSW_20220106_020000_Hannity/start/3060,B e. HANNITY EXCLUSIVE: SARA CARTER REPORTS FROM INSIDE. A TEXAS DPS DRUG WAREHOUSE AS BIDEN BORDER CRISIS RAGES,B e HANNITY EXCLUSIVE SARA CARTER REPORTS FROM INSIDE A TEXAS DPS DRUG WAREHOUSE AS BIDEN BORDER CRISIS RAGES,TENNIS STAR DJOKOVIC ORDERED OUT OF AUSTRALIA FACING DEPORTATION AMID VISA AND VACCINATION STATUS UPROAR
116,2022-01-06 04:47:31,CNNW,31,CNNW_20220106_040000_Don_Lemon_Tonight/start/2820,TENNIS STAR DJOKOVIC ORDERED OUT OF AUSTRALIA; FACING. DEPORTATION AMID VISA AND VACCINATION STATUS UPROAR,TENNIS STAR DJOKOVIC ORDERED OUT OF AUSTRALIA FACING DEPORTATION AMID VISA AND VACCINATION STATUS UPROAR,Novak Djokovic visa ruling Tennis star brought injunction over Australian visa cancellation
117,2022-01-06 05:05:57,BBCNEWS,5,BBCNEWS_20220106_050000_BBC_World_News/start/300,NNovak Djokovic visa ruling. Tennis star brought injunction over Australian visa cancellation,NNovak Djokovic visa ruling Tennis star brought injunction over Australian visa cancellation,Novak Djokovic visa hearing World No 1 tennis player denied entry into Australia
118,2022-01-06 05:06:06,BBCNEWS,12,BBCNEWS_20220106_050000_BBC_World_News/start/360,Novak Djokovic visa hearing. World No.1 tennis player denied entry into Australia,Novak Djokovic visa hearing World No1 tennis player denied entry into Australia,Djokovic visa row Authorities say he did not meet Covid-19 vaccination requirements
120,2022-01-06 05:06:29,BBCNEWS,11,BBCNEWS_20220106_050000_BBC_World_News/start/360,Djokovic visa row. Djokovic has been held at a quarantine facility in Melbourne,Djokovic visa row Djokovic has been held at a quarantine facility in Melbourne,Djokovic visa row Djokovic has been held at a quarantine facility in Melbourne
121,2022-01-06 05:06:41,BBCNEWS,9,BBCNEWS_20220106_050000_BBC_World_News/start/360,Novak Djokovic visa hearing. Djokovic told he would be removed from country on Thursday,Novak Djokovic visa hearing Djokovic told he would be removed from country on Thursday,Novak Djokovic visa hearing Djokovic told he would be removed from country on Thursday
