,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2026-01-07 20:48:00,BBCNEWS,13,BBCNEWS_20260107_203000_The_Context/start/1080,US ICE immigration agent shoots woman dead,US ICE immigration agent shoots woman dead,US ICE immigration agent shoots woman dead
1,2026-01-07 20:49:00,CNNW,61,CNNW_20260107_200000_CNN_News_Central/start/2940,"MN GOV WALZ: ""I'M ANGRY"" ABOUT ICE KILLING OF WOMAN",MN GOV WALZ IM ANGRY ABOUT ICE KILLING OF WOMAN,MN GOV WALZ IM ANGRY ABOUT ICE KILLING OF WOMAN
2,2026-01-07 20:49:00,FOXNEWSW,2,FOXNEWSW_20260107_200000_The_Story_With_Martha_MacCallum/start/2940,> TIM WALZ (D) | MINNESOTA GOVERNOR -. . NN HIDRATE AN MNLEATAL ICEINNAIVED CLIANATINCG,TIM WALZ D MINNESOTA GOVERNOR NN HIDRATE AN MNLEATAL ICEINNAIVED CLIANATINCG,
3,2026-01-07 20:50:58,CNNW,4,CNNW_20260107_200000_CNN_News_Central/start/3000,MN GOV WALZ URGES PROTESTERS O REMAIN PEACEFUL AFTER ICE KILLS WOMAN,MN GOV WALZ URGES PROTESTERS O REMAIN PEACEFUL AFTER ICE KILLS WOMAN,MN GOV WALZ URGES PROTESTERS TO REMAIN PEACEFUL AFTER ICE KILLS WOMAN
4,2026-01-07 20:51:42,MSNOW,2,MSNOW_20260107_190000_Katy_Tur_Reports/start/6660,NOW: MN GOV. TIM WALZ SPEAKS ON FATAL ICE SHOOTING ==z. . 1IVE > 1959 WKATY TIIRE BEPORTS /(|,NOW MN GOV TIM WALZ SPEAKS ON FATAL ICE SHOOTING z 1IVE 1959 WKATY TIIRE BEPORTS,NOW MN GOV TIM WALZ SPEAKS ON FATAL ICE SHOOTING
7,2026-01-07 20:52:59,FOXNEWSW,2,FOXNEWSW_20260107_200000_The_Story_With_Martha_MacCallum/start/3120,| NOW UPDATE ON MN FATAL ICE-INVOLVED SHOOTING,NOW UPDATE ON MN FATAL ICEINVOLVED SHOOTING,NOW UPDATE ON MN FATAL ICEINVOLVED SHOOTING
9,2026-01-07 20:57:50,CNNW,12,CNNW_20260107_200000_CNN_News_Central/start/3420,"MN GOV WALZ: ICE KILLING OF WOMAN ""$0 PREVENTABLE, S0 UNNECESSARY""",MN GOV WALZ ICE KILLING OF WOMAN 0 PREVENTABLE S0 UNNECESSARY,MN GOV WALZ ICE KILLING OF WOMAN 0 PREVENTABLE S0 UNNECESSARY
10,2026-01-07 20:58:21,FOXNEWSW,2,FOXNEWSW_20260107_200000_The_Story_With_Martha_MacCallum/start/3480,NOW WAI.Z SPEAKS AFTER FATAL ICE-INVOLVED SHOOTING,NOW WAIZ SPEAKS AFTER FATAL ICEINVOLVED SHOOTING,NOW WALZ SPEAKS AFTER FATAL ICE INVOLVED SHOOTING
11,2026-01-07 20:58:38,MSNOW,2,MSNOW_20260107_190000_Katy_Tur_Reports/start/7080,& VN GOV. TIM WALZ SAYS FATAL ICE SHOOTING WAS 'PREVENTABLE' =. . 1IVE > 192:-5QÂ°rm WKATY TIIRE BEDPORTS /(|,VN GOV TIM WALZ SAYS FATAL ICE SHOOTING WAS PREVENTABLE 1IVE 1925Qrm WKATY TIIRE BEDPORTS,MN GOV TIM WALZ SAYS FATAL ICE SHOOTING WAS PREVENTABLE
12,2026-01-07 20:59:00,FOXNEWSW,2,FOXNEWSW_20260107_200000_The_Story_With_Martha_MacCallum/start/3540,| ââ. . NEW VIDEO OF MN FATAL ICE-INVOLVED SHOOTING,NEW VIDEO OF MN FATAL ICEINVOLVED SHOOTING,NEW VIDEO OF MN FATAL ICE INVOLVED SHOOTING
15,2026-01-07 20:59:51,FOXNEWSW,2,FOXNEWSW_20260107_200000_The_Story_With_Martha_MacCallum/start/3540,7 NV e. ' NEW VIDEO OF MN FATAL ICE-INVOLVED SHOOTING,7 NV e NEW VIDEO OF MN FATAL ICEINVOLVED SHOOTING,NEW VIDEO OF MN FATAL ICE-INVOLVED SHOOTING
16,2026-01-07 21:00:18,CNNW,12,CNNW_20260107_200000_CNN_News_Central/start/3600,"U.S. CITIZEN SHOT, KILLED BY ICE OFFICER",US CITIZEN SHOT KILLED BY ICE OFFICER,US CITIZEN SHOT KILLED BY ICE OFFICER
18,2026-01-07 21:00:41,CNNW,20,CNNW_20260107_200000_CNN_News_Central/start/3600,ICE AGENT SHOOTS & KILLS WOMAN DURING MINNEAPOLIS CRACKDOWN,ICE AGENT SHOOTS KILLS WOMAN DURING MINNEAPOLIS CRACKDOWN,ICE AGENT SHOOTS KILLS WOMAN DURING MINNEAPOLIS CRACKDOWN
19,2026-01-07 21:00:52,MSNOW,2,MSNOW_20260107_190000_Katy_Tur_Reports/start/7200,"37 YEAR-OLD WOMAN, U.S. CITIZEN SHOT BY ICE IN MINNEAPOLIS i. . 1IVE > 4-00Â°"" DEADILINE WHITE HOUSE",37 YEAROLD WOMAN US CITIZEN SHOT BY ICE IN MINNEAPOLIS i 1IVE 400 DEADILINE WHITE HOUSE,37 YEAR-OLD WOMAN US CITIZEN SHOT BY ICE IN MINNEAPOLIS
20,2026-01-07 21:01:07,CNNW,4,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/60,VIDEQ SHOWS MOMENT ICE OFFICER FATALLY SHOOTS WOMAN IN MINNEAPOLIS,VIDEQ SHOWS MOMENT ICE OFFICER FATALLY SHOOTS WOMAN IN MINNEAPOLIS,VIDEO SHOWS MOMENT ICE OFFICER FATALLY SHOOTS WOMAN IN MINNEAPOLIS
22,2026-01-07 21:01:50,MSNOW,2,MSNOW_20260107_210000_Deadline_White_House/start/60,37 YEAR-OLD U.S. CITIZEN SHOT BY ICE IN MINNEAPOLIS i. . 1IVE > 4-01Â°â¢ DEADLINE  WHITE HOUSE,37 YEAROLD US CITIZEN SHOT BY ICE IN MINNEAPOLIS i 1IVE 401 DEADLINE WHITE HOUSE,37 YEAR-OLD US CITIZEN SHOT BY ICE IN MINNEAPOLIS
27,2026-01-07 21:04:00,CNNW,20,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/240,WALZ PUTS MINNESOTA NATL GUARD ON ALERT AFTER FATAL ICE SHOOTING,WALZ PUTS MINNESOTA NATL GUARD ON ALERT AFTER FATAL ICE SHOOTING,WALZ PUTS MINNESOTA NATIONAL GUARD ON ALERT AFTER FATAL ICE SHOOTING
30,2026-01-07 21:05:07,CNNW,24,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/300,WALZ: NO DEFINITIVE ID OF WOMAN FATALLY SHOT BY ICE AGENT IN MINNEAPOLIS,WALZ NO DEFINITIVE ID OF WOMAN FATALLY SHOT BY ICE AGENT IN MINNEAPOLIS,WALZ NO DEFINITIVE ID OF WOMAN FATALLY SHOT BY ICE AGENT IN MINNEAPOLIS
31,2026-01-07 21:05:32,CNNW,5,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/300,"WALZ: â'M ANGRY"" ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS",WALZ M ANGRY ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS,WALZ ANGRY ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS
32,2026-01-07 21:05:38,CNNW,2,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/300,"WALZ: âI'M ANGRY"" ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS. . Trevor Heitkemp | Witness",WALZ IM ANGRY ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS Trevor Heitkemp Witness,WALZ IM ANGRY ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS
34,2026-01-07 21:06:00,CNNW,22,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/360,"WALZ ON FATAL ICE SHOOTING: WE WILL âSEEK ACCOUNTABILITY AND JUSTICE""",WALZ ON FATAL ICE SHOOTING WE WILL SEEK ACCOUNTABILITY AND JUSTICE,WALZ ON FATAL ICE SHOOTING WE WILL SEEK ACCOUNTABILITY AND JUSTICE
35,2026-01-07 21:06:35,CNNW,2,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/360,WALZ ON FATAL SHOOTING BY ICE AGENT: THIS WAS TOTALLY PREDICTABLE,WALZ ON FATAL SHOOTING BY ICE AGENT THIS WAS TOTALLY PREDICTABLE,WALZ ON FATAL SHOOTING BY ICE AGENT THIS WAS TOTALLY PREDICTABLE
48,2026-01-07 21:12:50,CNNW,3,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/720,"âGET THE F*K OUT"": MINNEAPOLIS MAYOR BLASTS ICE AFTER DEADLY SHOOTING. . John Miller | @W Chief Law Enforcement & Intelligence Analyst",GET THE FK OUT MINNEAPOLIS MAYOR BLASTS ICE AFTER DEADLY SHOOTING John Miller W Chief Law Enforcement Intelligence Analyst,GET THE FK OUT MINNEAPOLIS MAYOR BLASTS ICE AFTER DEADLY SHOOTING
50,2026-01-07 21:13:01,FOXNEWSW,2,FOXNEWSW_20260107_210000_The_Will_Cain_Show/start/780,> KEN CUCCINELLI | FORMER ACTING DHS DEPUTY SECRETARY,KEN CUCCINELLI FORMER ACTING DHS DEPUTY SECRETARY,KEN CUCCINELLI FORMER ACTING DHS DEPUTY SECRETARY
51,2026-01-07 21:13:54,CNNW,2,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/780,MINNEAPOLIS MAYOR TELLS ICE TO âGET THE F**K OUTâ & SAYS DHS CLAIM THAT. FATAL SHOOTING OF WOMAN BY ICE OFFICER WAS SELF-DEFENSE IS âBULLSH*Tâ,MINNEAPOLIS MAYOR TELLS ICE TO GET THE FK OUT SAYS DHS CLAIM THAT FATAL SHOOTING OF WOMAN BY ICE OFFICER WAS SELFDEFENSE IS BULLSHT,MINNEAPOLIS MAYOR TELLS ICE TO GET THE FK OUT SAYS DHS CLAIM THAT FATAL SHOOTING OF WOMAN BY ICE OFFICER WAS SELF-DEFENSE IS BULLSH*T
57,2026-01-07 21:16:29,CNNW,2,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/960,WALZ: âI'M ANGRYâ ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS. . Xochitl Hinojosa | @W Political Commentator,WALZ IM ANGRY ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS Xochitl Hinojosa W Political Commentator,WALZ I'M ANGRY ABOUT KILLING OF WOMAN BY ICE IN MINNEAPOLIS
60,2026-01-07 21:16:55,MSNOW,2,MSNOW_20260107_210000_Deadline_White_House/start/960,"37 YEAR-OLD U.S. CITIZEN KILLED BY ICE IN MINNEAPOLIS 'S }. . 1I1VE > B-1A/""â¢ DEADILINE WHITE HOUSE",37 YEAROLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS S 1I1VE B1A DEADILINE WHITE HOUSE,37 YEAR-OLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS
66,2026-01-07 21:18:39,CNNW,7,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/1080,JUST IN: NOEM TRAVELING TO MINNEAPOLIS AMID FATAL ICE SHOOTING,JUST IN NOEM TRAVELING TO MINNEAPOLIS AMID FATAL ICE SHOOTING,JUST IN NOEM TRAVELING TO MINNEAPOLIS AMID FATAL ICE SHOOTING
76,2026-01-07 21:25:16,CNNW,18,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/1500,MAYOR: '| HAVE A MESSAGE FOR ICE ... GET THE F**K OUT OF MINNEAPOLISâ,MAYOR HAVE A MESSAGE FOR ICE GET THE FK OUT OF MINNEAPOLIS,MAYOR HAVE A MESSAGE FOR ICE GET OUT OF MINNEAPOLIS
78,2026-01-07 21:27:07,CNNW,20,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/1620,MINNEAPOLIS MAYOR: ICE TRYING TO CREATE âMILITARY OCCUPATIONâ IN CITY. . Sen. Mark Kelly | (D) Armed Services Committee,MINNEAPOLIS MAYOR ICE TRYING TO CREATE MILITARY OCCUPATION IN CITY Sen Mark Kelly D Armed Services Committee,MINNEAPOLIS MAYOR ICE TRYING TO CREATE MILITARY OCCUPATION IN CITY
79,2026-01-07 21:29:04,CNNW,5,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/1740,MAYOR: âI HAVE A MESSAGE FOR ICE ... GET THE F**K OUT OF MINNEAPOLISâ. . Sen. Mark Kelly | (D) Armed Services Committee,MAYOR I HAVE A MESSAGE FOR ICE GET THE FK OUT OF MINNEAPOLIS Sen Mark Kelly D Armed Services Committee,MAYOR I HAVE A MESSAGE FOR ICE GET OUT OF MINNEAPOLIS
80,2026-01-07 21:29:26,MSNOW,2,MSNOW_20260107_210000_Deadline_White_House/start/1740,37 YEAR-OLD U.S. CITIZEN KILLED BY ICE IN MINNEAPOLIS |. . TIVE > A4-0Qm DEADLINE | WHITE HOUISE,37 YEAROLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS TIVE A40Qm DEADLINE WHITE HOUISE,37 YEAR OLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS
87,2026-01-07 21:31:50,MSNOW,2,MSNOW_20260107_210000_Deadline_White_House/start/1860,[GE AGENT KILLS U.5. GITIZEN DURING IMMIGRATION CRAGKDOWN |. . 1IVE > 4-21 â¢ DEADILINE WHITE HDUSE,GE AGENT KILLS U5 GITIZEN DURING IMMIGRATION CRAGKDOWN 1IVE 421 DEADILINE WHITE HDUSE,ICE AGENT KILLS US CITIZEN DURING IMMIGRATION CRACKDOWN
94,2026-01-07 21:42:44,CNNW,2,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/2520,"âGET THE F**K OUT"": MINNEAPOLIS MAYOR BLASTS ICE AFTER DEADLY SHOOTING. . Sen. John Kennedy | (R) Judiciary Committee",GET THE FK OUT MINNEAPOLIS MAYOR BLASTS ICE AFTER DEADLY SHOOTING Sen John Kennedy R Judiciary Committee,GET THE OUT MINNEAPOLIS MAYOR BLASTS ICE AFTER DEADLY SHOOTING
114,2026-01-07 21:53:01,CNNW,3,CNNW_20260107_210000_The_Arena_With_Kasie_Hunt/start/3180,WALZ PUTS MINNESOTA NATL GUARD ON ALERT AFTER FATAL ICE SHOOTING. . Josh Campbell | @W Security Correspondent,WALZ PUTS MINNESOTA NATL GUARD ON ALERT AFTER FATAL ICE SHOOTING Josh Campbell W Security Correspondent,WALZ PUTS MINNESOTA NATL GUARD ON ALERT AFTER FATAL ICE SHOOTING
123,2026-01-07 22:00:58,FOXNEWSW,4,FOXNEWSW_20260107_210000_The_Will_Cain_Show/start/3600,'..-_. . - CHAOS AFTER ICE FATALLY SHOOTS WOMAN IN MN,CHAOS AFTER ICE FATALLY SHOOTS WOMAN IN MN,CHAOS AFTER ICE FATALLY SHOOTS WOMAN IN MN
124,2026-01-07 22:01:09,FOXNEWSW,3,FOXNEWSW_20260107_220000_The_Five/start/60,A R R e. WOMAN DEAD AFTER ICE-INVOLVED SHOOTING IN MN,A R R e WOMAN DEAD AFTER ICEINVOLVED SHOOTING IN MN,WOMAN DEAD AFTER ICE-INVOLVED SHOOTING IN MN
125,2026-01-07 22:01:37,FOXNEWSW,2,FOXNEWSW_20260107_220000_The_Five/start/60,MINNEAPOLIS MAYOR TO ICE: GET THE F*** OUT,MINNEAPOLIS MAYOR TO ICE GET THE F OUT,MINNEAPOLIS MAYOR TO ICE GET THE F OUT
126,2026-01-07 22:02:09,BBCNEWS,37,BBCNEWS_20260107_220000_BBC_News_at_Ten/start/120,Immigration officer fatally shoots woman in Minneapolis,Immigration officer fatally shoots woman in Minneapolis,Immigration officer fatally shoots woman in Minneapolis
132,2026-01-07 22:05:04,CNNW,8,CNNW_20260107_220000_The_Lead_With_Jake_Tapper/start/300,"WOMAN SHOT, KILLED BY ICE OFFICER IN MINNEAPOLIS. . Mayor Jacob Frey | Minneapolis",WOMAN SHOT KILLED BY ICE OFFICER IN MINNEAPOLIS Mayor Jacob Frey Minneapolis,WOMAN SHOT KILLED BY ICE OFFICER IN MINNEAPOLIS
135,2026-01-07 22:06:00,FOXNEWSW,2,FOXNEWSW_20260107_220000_The_Five/start/360,â WOMAN DEAD AFTER ICE- INVOlVED SHOOTING IN MN. . S N,WOMAN DEAD AFTER ICE INVOlVED SHOOTING IN MN S N,WOMAN DEAD AFTER ICE INVOLVED SHOOTING IN MN
140,2026-01-07 22:07:00,FOXNEWSW,2,FOXNEWSW_20260107_220000_The_Five/start/420,"ST S i. . ICE:""VIOLENT"" AGITATOR TRIED TO RUN OVER AGENTS [l",ST S i ICEVIOLENT AGITATOR TRIED TO RUN OVER AGENTS l,STUDENT ICE VIOLENT AGITATOR TRIED TO RUN OVER AGENTS
146,2026-01-07 22:10:04,CNNW,8,CNNW_20260107_220000_The_Lead_With_Jake_Tapper/start/600,"U.S. CITIZEN SHOT, KILLED BY ICE OFFICER. . Darrin Porcher | Former NYPD Lieutenant",US CITIZEN SHOT KILLED BY ICE OFFICER Darrin Porcher Former NYPD Lieutenant,US CITIZEN SHOT KILLED BY ICE OFFICER Darrin Porcher Former NYPD Lieutenant
148,2026-01-07 22:10:23,FOXNEWSW,3,FOXNEWSW_20260107_220000_The_Five/start/600,"ICE: AGENT IN MINNEAPOLIS ""FIRED DEFENSIVE SHOTS"" [t i)",ICE AGENT IN MINNEAPOLIS FIRED DEFENSIVE SHOTS t i,ICE AGENT IN MINNEAPOLIS FIRED DEFENSIVE SHOTS
153,2026-01-07 22:13:00,MSNOW,3,MSNOW_20260107_210000_Deadline_White_House/start/4380,.~ 31 YEAR-OLD U.S. CITIZEN KILLED BY ICE IN MINNEAPOLIS 'S Â§. . 1IVE > B-10Â°n DEADLINE  WHITE HOUSE,31 YEAROLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS S 1IVE B10n DEADLINE WHITE HOUSE,31 YEAR OLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS
162,2026-01-07 22:18:14,BBCNEWS,20,BBCNEWS_20260107_220000_BBC_News_at_Ten/start/1080,37-year-old woman shot dead by ICE officer,37yearold woman shot dead by ICE officer,37 YEAR OLD WOMAN SHOT DEAD BY ICE OFFICER
179,2026-01-07 22:24:00,MSNOW,2,MSNOW_20260107_210000_Deadline_White_House/start/5040,37 YEAR-OLD U.S. CITIZEN KILLED BY ICE IN MINNEAPOLIS 'S. . 1IVE > B:OQÂ°fm DEADLINE  WHITE HDUSE,37 YEAROLD US CITIZEN KILLED BY ICE IN MINNEAPOLIS S 1IVE BOQfm DEADLINE WHITE HDUSE,DHS SECRETARY HEADED TO MINNEAPOLIS AFTER ICE SHOOTING
205,2026-01-07 22:37:33,CNNW,2,CNNW_20260107_220000_The_Lead_With_Jake_Tapper/start/2220,"U.S. CITIZEN SHOT, KILLED BY ICE OFFICER IN MINNEAPOLIS. . Sen. Tina Smith | (D) Minnesota",US CITIZEN SHOT KILLED BY ICE OFFICER IN MINNEAPOLIS Sen Tina Smith D Minnesota,US CITIZEN SHOT KILLED BY ICE OFFICER IN MINNEAPOLIS
224,2026-01-07 23:05:20,BBCNEWS,42,BBCNEWS_20260107_230000_BBC_World_News_America/start/300,Minneapolis mayor to ICE: 'Get out of our city',Minneapolis mayor to ICE Get out of our city,Minneapolis mayor to ICE Get out of our city
228,2026-01-07 23:06:37,BBCNEWS,25,BBCNEWS_20260107_230000_BBC_World_News_America/start/360,Woman shot and killed by ICE agent in Minneapolis,Woman shot and killed by ICE agent in Minneapolis,Woman shot and killed by ICE agent in Minneapolis
231,2026-01-07 23:10:30,CNNW,12,CNNW_20260107_230000_The_Lead_With_Jake_Tapper/start/600,PROTESTS IN MINNEAPOLIS AFTER ICE SHOOTING,PROTESTS IN MINNEAPOLIS AFTER ICE SHOOTING,PROTESTS IN MINNEAPOLIS AFTER ICE SHOOTING
232,2026-01-07 23:10:53,MSNOW,2,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/600,"=~ ICE SHOOTING VICTIM WAS U.S. CITIZEN "" =. . 1IVE > R-10P"" THERE AT WITH ARI MELBER",ICE SHOOTING VICTIM WAS US CITIZEN 1IVE R10P THERE AT WITH ARI MELBER,ICE SHOOTING VICTIM WAS US CITIZEN
234,2026-01-07 23:12:15,MSNOW,2,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/720,"HEAT ON TRUMP'S MILITARTZATION AS ICE KILLS WOMAN, SOLDIERS PATROL STREETS  ~ roe<sz. . 1IVE > =11 THERE AT WITH ARI MELBER",HEAT ON TRUMPS MILITARTZATION AS ICE KILLS WOMAN SOLDIERS PATROL STREETS roesz 1IVE 11 THERE AT WITH ARI MELBER,HEAT ON TRUMP'S MILITARIZATION AS ICE KILLS WOMAN
235,2026-01-07 23:12:47,MSNOW,2,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/720,CRITICS SAY TRUMP'S ICE PLANS LED T0 WOMAN'S KILLING | *==s. . 1IVE > R-07Pm THERE AT WITH ARI MELBER,CRITICS SAY TRUMPS ICE PLANS LED T0 WOMANS KILLING s 1IVE R07Pm THERE AT WITH ARI MELBER,CRITICS SAY TRUMP'S ICE PLANS LED TO WOMAN'S KILLING
236,2026-01-07 23:14:25,MSNOW,2,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/840,; OUTRAGE OVER TRUMP ICE POLICY AS AGENT KILLS WOMAN ==. . 1IVE > R-1Qrm THERE AT WITH ARI MELBER,OUTRAGE OVER TRUMP ICE POLICY AS AGENT KILLS WOMAN 1IVE R1Qrm THERE AT WITH ARI MELBER,OUTRAGE OVER TRUMP ICE POLICY AS AGENT KILLS WOMAN
238,2026-01-07 23:17:46,MSNOW,5,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/1020,. MNAG CALLS FOR INDEPENDENT PROBE OF ICE SHOOTING ==. . 1IVE > R-1Qrm THERE AT WITH ARI MELBER,MNAG CALLS FOR INDEPENDENT PROBE OF ICE SHOOTING 1IVE R1Qrm THERE AT WITH ARI MELBER,MNAG CALLS FOR INDEPENDENT PROBE OF ICE SHOOTING
239,2026-01-07 23:20:27,MSNOW,2,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/1200,ICE AGENT SHOOTS WOMAN TO DEATH IN MINNEAPOLIS ~ *=x::. . 1IVE > RO/ THERE AT WITH ARI MELBER,ICE AGENT SHOOTS WOMAN TO DEATH IN MINNEAPOLIS x 1IVE RO THERE AT WITH ARI MELBER,ICE AGENT SHOOTS WOMAN TO DEATH IN MINNEAPOLIS
242,2026-01-07 23:21:51,MSNOW,2,MSNOW_20260107_230000_The_Beat_With_Ari_Melber/start/1260,"3% DHS SECY NOEM ON FATAL ICE SHOOTING | =. . 1IVE > R-04P"" THERE AT WITH ARI MELBER",3 DHS SECY NOEM ON FATAL ICE SHOOTING 1IVE R04P THERE AT WITH ARI MELBER,DHS Secretary Noem on fatal ICE shooting live with Ari Melber
243,2026-01-07 23:25:35,BBCNEWS,22,BBCNEWS_20260107_230000_BBC_World_News_America/start/1500,Noem criticises Minneapolis officials after ICE shooting,Noem criticises Minneapolis officials after ICE shooting,Noem criticizes Minneapolis officials after ICE shooting
244,2026-01-07 23:27:40,BBCNEWS,21,BBCNEWS_20260107_230000_BBC_World_News_America/start/1620,Noem: Victim was 'harassing' ICE officers,Noem Victim was harassing ICE officers,Noem: Victim was harassing ICE officers
245,2026-01-07 23:28:17,BBCNEWS,34,BBCNEWS_20260107_230000_BBC_World_News_America/start/1680,Noem: ICE not pausing ops after shooting,Noem ICE not pausing ops after shooting,Noem: ICE not pausing operations after shooting
246,2026-01-07 23:28:23,CNNW,3,CNNW_20260107_230000_The_Lead_With_Jake_Tapper/start/1680,"DHS SECY. SAYS OFFICER IN SHOOTING ""FOLLOWED HIS TRAINING""",DHS SECY SAYS OFFICER IN SHOOTING FOLLOWED HIS TRAINING,DHS Secretary says officer in shooting followed his training
247,2026-01-07 23:32:11,BBCNEWS,38,BBCNEWS_20260107_230000_BBC_World_News_America/start/1920,ICE agent was involved in another incident in June,ICE agent was involved in another incident in June,ICE agent was involved in another incident in June
248,2026-01-07 23:33:04,BBCNEWS,58,BBCNEWS_20260107_230000_BBC_World_News_America/start/1980,Noem: 'Mob of agitators' was harassing ICE,Noem Mob of agitators was harassing ICE,Noem: Mob of agitators was harassing ICE
249,2026-01-07 23:34:52,CNNW,10,CNNW_20260107_230000_The_Lead_With_Jake_Tapper/start/2040,"DHS SECY, NOEM: WHAT HAPPENED TODAY ""WAS PREVENTABLE""",DHS SECY NOEM WHAT HAPPENED TODAY WAS PREVENTABLE,DHS Secretary Noem: What happened today was preventable
250,2026-01-07 23:39:05,BBCNEWS,57,BBCNEWS_20260107_230000_BBC_World_News_America/start/2340,Vigil for woman shot by ICE officer,Vigil for woman shot by ICE officer,Vigil for woman shot by ICE officer
251,2026-01-07 23:40:04,CNNW,10,CNNW_20260107_230000_The_Lead_With_Jake_Tapper/start/2400,"DHS SECY. SAYS OFFICER IN SHOOTING ""FOLLOWED HIS TRAINING"". . Whitney Wild | @W Law Enforcement Correspondent",DHS SECY SAYS OFFICER IN SHOOTING FOLLOWED HIS TRAINING Whitney Wild W Law Enforcement Correspondent,DHS Secretary says officer in shooting followed his training Whitney Wild W Law Enforcement Correspondent
