,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2023-01-01 03:51:00,CNNW,2,CNNW_20230101_010000_CNN_New_Years_Eve_Live_with_Anderson_Cooper_and_Andy_Cohen/start/10260,Y. W 2 /WEEEEEEEES. ployxy * ICEANI CRAADT. . T,Y W 2 WEEEEEEEES ployxy ICEANI CRAADT T,
3,2023-01-01 09:21:29,BBCNEWS,2,BBCNEWS_20230101_090000_BBC_News/start/1260,Australian Open. Novak Djokovic says he will 'never forget' deportation,Australian Open Novak Djokovic says he will never forget deportation,Australian Open Novak Djokovic says he will never forget deportation
4,2023-01-01 09:21:37,BBCNEWS,3,BBCNEWS_20230101_090000_BBC_News/start/1260,Australian Open. Serb star was deported from the country one yearago,Australian Open Serb star was deported from the country one yearago,Australian Open Serb star was deported from the country one year ago
5,2023-01-01 11:29:43,FOXNEWSW,2,FOXNEWSW_20230101_110000_FOX_and_Friends_Sunday/start/1740,"BIDEN FACES BACKLASH OVER INFLATION, BORDER CRISIS",BIDEN FACES BACKLASH OVER INFLATION BORDER CRISIS,BIDEN FACES BACKLASH OVER INFLATION BORDER CRISIS
6,2023-01-01 11:38:29,FOXNEWSW,3,FOXNEWSW_20230101_110000_FOX_and_Friends_Sunday/start/2280,"""ROOT CAUSES OF MIGRATION""",ROOT CAUSES OF MIGRATION,ROOT CAUSES OF MIGRATION
7,2023-01-01 11:46:48,FOXNEWSW,2,FOXNEWSW_20230101_110000_FOX_and_Friends_Sunday/start/2760,BACKLASH GROWS OVER ADMIN'S BORDER AGENDA (Â¥ Â£,BACKLASH GROWS OVER ADMINS BORDER AGENDA,BACKLASH GROWS OVER ADMINS BORDER AGENDA
9,2023-01-01 14:09:42,FOXNEWSW,2,FOXNEWSW_20230101_140000_FOX_and_Friends_Sunday/start/540,"BORDER SURGE EXPOSES THREAT OF SMUGGLERS, CARTELS",BORDER SURGE EXPOSES THREAT OF SMUGGLERS CARTELS,BORDER SURGE EXPOSES THREAT OF SMUGGLERS CARTELS
12,2023-01-01 15:02:24,FOXNEWSW,4,FOXNEWSW_20230101_150000_Sunday_Morning_Futures_With_Maria_Bartiromo/start/120,!. CBP SOURCES: FY23 SEES RECORD SURGE OF MIGRANTS,CBP SOURCES FY23 SEES RECORD SURGE OF MIGRANTS,CBP SOURCES FY23 SEES RECORD SURGE OF MIGRANTS
13,2023-01-01 15:35:54,FOXNEWSW,5,FOXNEWSW_20230101_150000_Sunday_Morning_Futures_With_Maria_Bartiromo/start/2100,. 5 MILLION+ MIGRANTS HAVE ALREADY ILLEGALLY CROSSED. SOUTHERN BORDER UNDER BIDEN ADMINISTRATION,5 MILLION MIGRANTS HAVE ALREADY ILLEGALLY CROSSED SOUTHERN BORDER UNDER BIDEN ADMINISTRATION,5 MILLION MIGRANTS HAVE ALREADY ILLEGALLY CROSSED SOUTHERN BORDER UNDER BIDEN ADMINISTRATION
14,2023-01-01 15:37:32,FOXNEWSW,3,FOXNEWSW_20230101_150000_Sunday_Morning_Futures_With_Maria_Bartiromo/start/2220,SUSPECTED MIGRANTS TRY TO BREAK INTO TXRANCH #8358 (),SUSPECTED MIGRANTS TRY TO BREAK INTO TXRANCH 8358,SUSPECTED MIGRANTS TRY TO BREAK INTO TX RANCH 8358
16,2023-01-01 17:23:39,FOXNEWSW,2,FOXNEWSW_20230101_170000_Fox_News_Live/start/1380,{FOX FACTS L. MORE THAN 4.4M MIGRANT ENCOUNTERS UNDER BineN TR,FOX FACTS L MORE THAN 44M MIGRANT ENCOUNTERS UNDER BineN TR,MORE THAN 44M MIGRANT ENCOUNTERS UNDER BIDEN
17,2023-01-01 17:24:00,FOXNEWSW,2,FOXNEWSW_20230101_170000_Fox_News_Live/start/1440,{FOX FACTS L. SINCE OCT: 30% OF MIGRANTS EXPELLED UNDER TTE 42 TR,FOX FACTS L SINCE OCT 30 OF MIGRANTS EXPELLED UNDER TTE 42 TR,SINCE OCT 30 OF MIGRANTS EXPELLED UNDER TITLE 42
19,2023-01-01 19:34:43,FOXNEWSW,2,FOXNEWSW_20230101_190000_FOX_News_Sunday/start/2040,. . A e R Y SN e. DAY TRUMP-ERA IMMIGRATION POLICY TITLE 42,A e R Y SN e DAY TRUMPERA IMMIGRATION POLICY TITLE 42,TRUMP ADMINISTRATION IMMIGRATION POLICY TITLE 42
20,2023-01-01 19:40:49,CNNW,13,CNNW_20230101_190000_CNN_Newsroom_With_Fredricka_Whitfield/start/2400,MIGRANTS STILL FACING TRUMP-ERA BORDER RESTRICTIONS. AFTER SUPREME COURT KEEPS POLICY IN PLACE FOR NOW,MIGRANTS STILL FACING TRUMPERA BORDER RESTRICTIONS AFTER SUPREME COURT KEEPS POLICY IN PLACE FOR NOW,MIGRANTS STILL FACING TRUMP ADMINISTRATION BORDER RESTRICTIONS AFTER SUPREME COURT KEEPS POLICY IN PLACE FOR NOW
21,2023-01-01 19:46:00,CNNW,4,CNNW_20230101_190000_CNN_Newsroom_With_Fredricka_Whitfield/start/2760,CNN AT BORDER AFTER SUPREME COURT KEEPS TRUMP-ERA POLICY IN PLACE. . Angello Sanchez | Migrant from Colombia,CNN AT BORDER AFTER SUPREME COURT KEEPS TRUMPERA POLICY IN PLACE Angello Sanchez Migrant from Colombia,AT BORDER AFTER SUPREME COURT KEEPS TRUMP ADMINISTRATION POLICY IN PLACE Angello Sanchez Migrant from Colombia
24,2023-01-02 02:18:45,FOXNEWSW,5,FOXNEWSW_20230102_020000_The_Next_Revolution_With_Steve_Hilton/start/1080,'. DEMS ENCOURAGE MASS ILLEGAL IMMIGRATION,DEMS ENCOURAGE MASS ILLEGAL IMMIGRATION,MIGRANTS RECORD
25,2023-01-02 02:23:57,FOXNEWSW,4,FOXNEWSW_20230102_020000_The_Next_Revolution_With_Steve_Hilton/start/1380,> ANDREW ARTHUR | CENTER FOR IMMIGRATION STUDIES,ANDREW ARTHUR CENTER FOR IMMIGRATION STUDIES,MASS ILLEGAL IMMIGRATION
26,2023-01-02 02:27:35,MSNBCW,6,MSNBCW_20230102_020000_All_In_With_Chris_Hayes/start/1620,"DHS WARNS OF EXTREMIST ATTACKS AGAINST. JEWISH, LGBTQ, MIGRANT COMMUNITES",DHS WARNS OF EXTREMIST ATTACKS AGAINST JEWISH LGBTQ MIGRANT COMMUNITES,ANDREW ARTHUR CENTER FOR IMMIGRATION STUDIES
27,2023-01-02 05:37:33,CNNW,2,CNNW_20230102_050000_CNN_Films_Dionne_Warwick_Dont_Make_Me_Over/start/2220,Please Eniov Responsibly. BAILEYS Irish Cream Liqueur. 17% Alc/Vol.,Please Eniov Responsibly BAILEYS Irish Cream Liqueur 17 AlcVol,WARNINGS OF EXTREMIST ATTACKS AGAINST MIGRANT COMMUNITIES
32,2023-01-02 10:10:05,FOXNEWSW,3,FOXNEWSW_20230102_100000_FOX__Friends_First/start/600,Â» TOM HOMAN | RETIRED ACTING ICE DIRECTOR,TOM HOMAN RETIRED ACTING ICE DIRECTOR,TOM HOMAN RETIRED ACTING ICE DIRECTOR
33,2023-01-02 11:15:00,FOXNEWSW,2,FOXNEWSW_20230102_110000_FOX_and_Friends/start/900,h 4. FENTANYL SEIZURES AT BORDER HIT NEW RECORD IN 2022,h 4 FENTANYL SEIZURES AT BORDER HIT NEW RECORD IN 2022,FENTANYL SEIZURES AT BORDER HIT NEW RECORD IN 2022
34,2023-01-02 11:23:32,FOXNEWSW,2,FOXNEWSW_20230102_110000_FOX_and_Friends/start/1380,ATTACK ON PRISON JUST MILES FROM U.S. BORDER,ATTACK ON PRISON JUST MILES FROM US BORDER,ATTACK ON PRISON JUST MILES FROM US BORDER
